"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CPD4116019 Ext 01",Contract,"MINISTRY OF HOUSING, COMMUNITIES & LOCAL GOVERNMENT",Awarded,2020-09-11T13:49:20Z,"MHCLG IP Telephony Managed Service","MHCLG/PINS IP telephony Managed Service - 12 month extension.
This contract has been awarded and is published for transparency purposes.",,,"United Kingdom","32429000 32500000 ",,commercial@communities.gov.uk,"Ashdown House","Sedlescombe Road North","St Leonards on Sea","TN37 7GA",England,,,"Redacted Extension01.pdf ",,,15/05/2020,14/05/2021,14/05/2020,NO,,Yes,No,No,Services,895000,,15/05/2020,895000,"[DAISY COMMUNICATIONS LTD.|Lindred Road Business Park,Brierfield
NELSON
Lancashire
BB9 5SR
GB|COMPANIES_HOUSE|04145329|No|No]",,15/05/2020,14/05/2021,"Other Extension to existing contract",,12:00
tender_221889/877281,Contract,"Hertfordshire NHS Procurement",Awarded,2020-08-04T10:31:28Z,"WHHT - Replacement of Telecommunications Radio Messaging Services (Bleep Upgrade)","Replacement of Telecommunications Radio Messaging System and Services at West Hertfordshire Hospitals NHS Trust

Further competition conducted via CCS Framework RM3808 for Network Services - the most economically advantageous offer was awarded the contract.",,"WD18 0HB","East of England","32412100 32500000 32524000 ","David McGrath",david.mcgrath3@nhs.net,"2nd Floor, Gate House, Fretherne Road",,"Welwyn Garden City","AL8 6NS",England,,,,,,09/03/2020,08/03/2026,23/12/2019,NO,,Yes,No,No,Services,350000,450000,03/04/2020,400000,"[Daisy Communications LTD|Daisy House, 20 Lindred Road, Nelson, Lancashire, BB9 5SR, UNITED KINGDOM|NONE_OTHER||No|No]","Riley Andy",09/03/2020,08/03/2026,"CallOffFromFrameworkAgreement ",,12:00
LEICSCC001-DN472689-76173036,Contract,"Leicestershire County Council",Awarded,2020-03-30T12:26:40Z,"Document and Records Management System","Support and Maintenance services for the Wisdom Document and Records Management System.",,,"East Midlands","48000000 72000000 ","Jayne Glasgow",jayne.glasgow@leics.gov.uk,"County Hall","Leicester Road Glenfield",Leicester,"LE3 8RA",England,,https://www.eastmidstenders.org/index.html,,,,01/04/2020,31/03/2021,29/03/2020,NO,,Yes,No,No,Services,70000,70000,30/03/2020,70000,"[Daisy Communications Ltd|Daisy House, Nelson, Lancashire, BB9 5SR, United Kingdom|NONE||No|No]",,01/04/2020,31/03/2021,"Restricted ",
CA18/04809,Contract,"The Coal Authority",Awarded,2019-11-18T16:48:39Z,"Wisdom upgrade to V9","Wisdom upgrade to V9",,"NG18 4RG",,"72222300 ","Lucas Ortega",lucasortega@coal.gov.uk,"200 Lichfield Lane",,MANSFIELD,NG184RG,England,"01623 637430",,,,,05/07/2019,05/12/2019,04/07/2019,NO,,No,No,No,Services,32750,,04/07/2019,25050,"[DAISY COMMUNICATIONS LTD.|20 Lindred Road,Brierfield
NELSON
Lancashire
BB9 5SR
GB|COMPANIES_HOUSE|04145329|No|No]",,05/07/2019,05/12/2019,"SingleTenderActionNonOJEU ",
SC7385/19,Contract,"UNIVERSITY OF BIRMINGHAM",Awarded,2019-07-23T16:19:46Z,"Contract for Mitel Support and Maintenance for the University of Birmingham","Contract for Mitel Support and Maintenance for the University of Birmingham",,"B15 2TT",,"50312000 ","Thomas Hasson",t.r.hasson@bham.ac.uk,Edgbaston,,BIRMINGHAM,B152TT,England,,,,,,19/07/2019,31/07/2020,17/07/2019,NO,,No,No,No,Services,58636,,17/07/2019,58636,"[Daisy Communications Ltd|Lindred House 
Brierfield 
Nelson 
BB9 5SR|COMPANIES_HOUSE|04145329|No|No]",,19/07/2019,31/07/2020,"Other Direct Award",
20190617153111-45644,Contract,"NHS South West - Acutes",Awarded,2019-06-17T15:31:14Z,"Invitation to tender for Wi-fi Survey and Implementation","Invitation to tender for the surveying and recommended upgrades and implementation of said upgrades",,,"South West","72500000 72700000 ","Denise Potts Morton",denise.pottsmorton@nhs.net,"Royal Devon & Exeter Hospital (Heavitree),",,Exeter,"EX1 2ED",ENG,,,,"https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=28080&B=NHSSW https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/45644 ",,17/06/2019,01/10/2019,26/04/2019,NO,,Yes,No,No,Services,0,1,14/06/2019,72000,"[Daisy Communications Ltd|Lindred House,
Unit 16 & 20, 
Lindred Road, 
Lomeshaye Industrial Estate, 
Nelson, 
Lancashire BB9 5SR|NONE||No|No]",,17/06/2019,01/10/2019,"Other ",
CWC19002,Contract,"City Of Wolverhampton Council",Awarded,2019-04-26T16:04:13Z,"Local Area Network (LAN)","The provision of a Local Area Network (LAN) for the City of Wolverhampton Council (CWC).",,,"West Midlands","72700000 ","Barry Greenwood",Barry.Greenwood@wolverhampton.gov.uk,"Civic Centre,St Peters Square",,WOLVERHAMPTON,WV11RL,England,"01902 552911",,,,,06/03/2019,05/03/2024,01/02/2019,NO,,Yes,No,No,Services,173964,,08/02/2019,173964,"[Daisy Communications Ltd|Daisy House, Lindred Road Business Park, Nelson, Lancashire, BB9 5SR|NONE||No|No]",,06/03/2019,05/03/2024,"CallOffFromFrameworkAgreement ",
TGP312,Contract,"THE GUINNESS PARTNERSHIP LIMITED",Awarded,2019-04-11T11:23:00Z,"Traditional & Inbound Telephony Services","Guinness has circa 1000 traditional fixed telephony lines across the estate. The majority of lines are used for lifts, fire alarms and door entry systems. We also have 57 Business Broadband lines that are outside our wide area network and used for things like heating systems and general connectivity. 
 
We also require two Non-geographic (NGN) 0303 numbers that customers use to contact us for The Guinness Partnership and Guinness Care and Support. The current cost of the NGN equates to £111k annually.  

The provision of services was procured under and will be governed by Crown Commercial Service RM1045 Network Services Order Form, Call-off and Framework terms. 

The contract start date is 03 January 2019.",,,"Any region","32000000 ","The Guinness Partnership Limited",procurement@guinness.org.uk,"30 Brock Street","Regent's Place",London,"NW1 3FG",England,,https://www.guinnesspartnership.com/,,,,03/01/2019,02/01/2022,06/09/2018,NO,,No,No,No,Services,549437,,15/12/2018,549437,"[Daisy Communications Ltd|Daisy House
Lindred Road Business Park 
Nelson 
Lancashire
BB9 5SR|COMPANIES_HOUSE|4145329|No|No]",,03/01/2019,02/01/2022,"CallOffFromFrameworkAgreement ",
