"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
LEEDSCITY001-DN396865-53732488,Contract,"Leeds City Council",Awarded,2019-03-20T11:56:31Z,"ITS180023: ICLipse Support & Maintenance Services","Award of a contract to Northgate Public Services (UK) Ltd for Support and Maintenance of ICLipse EDRMS forthe period 1st April 2019 to 31st March 2020.
Contract awarded using the Negotiated Procedure without publication of a notice under Regulation 32 (2) (b) (ii)of the Public Contracts Regulations 2015.",,,"Yorkshire and the Humber","48100000 ",,its.procurement@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133784357",http://www.leeds.gov.uk,,,,01/04/2019,31/03/2020,01/03/2019,NO,,No,No,No,Services,76000,76000,20/03/2019,75886.43,"[Northgate Public Services (UK) Ltd|Queen's Court
Wilmslow Road 
Alderley Edge
Cheshire 
SK9 7RR|NONE||No|No]",,01/04/2019,31/03/2020,"NegotiatedWithoutCompetition ",
PPRO04/091/049,Contract,"DEPARTMENT FOR TRANSPORT",Awarded,2017-04-21T09:30:58Z,"Northgate data for National speed awareness course evaluation","The purpose of the research is to conduct an impact evaluation of the NDORS National Speed Awareness Course (NSAC) scheme. Northgate Public Services (NPS) - as the provider to the Home Office - of the national PentiP System, is providing a data extract to DVLA, who will process the data further, before passing the final extract to Ipsos MORI.",,,"Any region","73000000 ",,dftprocurement@dft.gsi.gov.uk,"Great Minster House","33 Horseferry House",London,"SW1P 4DR",England,,,"Award letter contracts finder redacted_Redacted.pdf ",,,13/04/2017,12/06/2017,12/04/2017,NO,,No,No,No,Services,27000,,12/04/2017,27000,"[Northgate Public Services (UK) Ltd|People Building 2
Maylands Avenue
Hemel Hempstead
HP2 4NW|||No|No]",,13/04/2017,12/06/2017,"DirectAward ",
CCD00503,Contract,"STEVENAGE BOROUGH COUNCIL",Awarded,2018-09-03T09:44:26Z,"Information@Work / Housing Document Management SystemInformation@Work / Housing Document Management System","AWARDED - Electronic document management system with build in integration to Northgate. This system will be used for digitalisation of Housing records.",,,"East of England","72000000 ","Corporate Procurement",procurement@stevenage.gov.uk,Danestrete,,STEVENAGE,SG11HN,England,01438242242,,,,,27/07/2018,31/10/2020,26/07/2018,NO,,No,No,No,Services,155240,,26/07/2018,155240,"[Northgate Public Services (UK) Ltd|Queens Court, Wilmslow Road, Alderley Edge, SK9 7RR|COMPANIES_HOUSE|968498|No|No]",,27/07/2018,31/10/2020,"SingleTenderActionNonOJEU ",
DN213618,Contract,"Wakefield Council Customer Service",Awarded,2017-06-29T15:21:03Z,"Online Claim Form and Integration Services","Further competition under the Crown Commercial Services framework agreement; Ref: RM1042, Title: Corporate Software Solutions, Lot 4: Customer Relationship Management (CRM) Software Solutions.

Provision of validation and integration services for HB/CTS claims (Lot 2) and hosted online Revenues forms including validation and integration with Northgate system and e-billing (Lot 3)",,,"Yorkshire and the Humber","48000000 ","Anthony derbyshire",aderbyshire@wakefield.gov.uk,"Wakefield One, PO Box 700","Burton Street",Wakefield,"WF1 2EB",England,,,,,,22/06/2017,21/06/2022,13/12/2016,NO,,Yes,Yes,No,Services,751115,,21/06/2017,751111,"[Northgate Public Services (UK) Ltd|People Builidng, Hemel Hempstead, Hemel, Hertfordshire, HP2 4NW|||No|No]",,22/06/2017,21/06/2022,"Other ",
PP16036,Contract,"WOLVERHAMPTON CITY COUNCIL",Awarded,2016-09-27T10:59:40Z,"Revenue and Benefits Software Support Contract","Support to Northgate's Revenue and Benefits Software",,"WV1 1RL","West Midlands","72261000 ","simon Pons",simon.pons@wolverhampton.gov.uk,"Civic Center, St Peters Square,",,"Wolverhampton,","WR7 4HA",England,,,,,,31/08/2016,27/08/2021,27/07/2016,NO,,No,No,No,Services,381669.73,,30/08/2016,381669.73,"[Northgate Public Services (UK) Ltd|Queens Court,
Wimslow Road,
Alderley Edge,
Cheshire SK9 7RR|||No|No]",,31/08/2016,27/08/2021," ",
"BHCC - 010699",Contract,"BRIGHTON & HOVE CITY COUNCIL",Awarded,2019-12-05T15:46:08Z,"BHCC Revenues & Benefits Citizens Access","The Council requires a robust, cost-effective citizen's public website for Revenues, Benefits and Landlords. This is in line with the department's digital strategy, focused around enabling citizen's to manage changes themselves and access their accounts.",,,"South East","48000000 ","Procurement Team",procurement@brighton-hove.gov.uk,"Grand Avenue",,HOVE,BN32LS,England,"01273 291949",,,,,12/08/2019,11/08/2022,16/07/2019,NO,,Yes,No,No,Services,148000,,09/08/2019,148000,"[Northgate Public Services (UK) Ltd|Peoplebuilding 2, Peoplebuilding Estate
Maylands Avenue
Hemel Hempstead
Hertfordshire
HP2 4NW|COMPANIES_HOUSE|00968498|No|No]",,12/08/2019,11/07/2022,"CallOffFromFrameworkAgreement ",
20200512091229-67601,Contract,"Midlands Partnership Foundation Trust",Awarded,2020-05-12T09:12:35Z,"Diabetic Eye Screening Software","Provision of a patient records, image storage and text messaging service to support the delivery of diabetic retinopathy services. The system needs to have access to a live dashboard for reporting and management purposes.",,,"Any region","33100000 ","Elizabeth Aldridge",elizabeth.aldridge@mpft.nhs.uk,"Trust HQ, Corporation Street,",,Stafford,"ST16 3AG",ENG,"+44 1782137074",http://www.mpft.nhs.uk/,,"https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=32566&B=UK https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/67601 ",,19/03/2020,20/03/2020,18/03/2020,NO,,No,No,No,Services,0,1,18/03/2020,356150,"[Northgate Public Services (UK) LTD|Peoplebuilding, Maylands Avenue,
Hemel Hampstead,
Herts,
HP2 4NW|NONE||No|No]",,01/01/2020,31/12/2024,"Restricted ",
LEEDSCITY001-DN461010-75629787,Contract,"Leeds City Council",Awarded,2020-01-30T09:49:37Z,"ITS190026 ICLipse EDRMS - Support & Maintenance","Award of a 1 year Support & Maintenance contract for ICLipse EDRMS, for the period 01/04/2020 to 31/03/2021.",,,"Yorkshire and the Humber","48100000 ",,its.procurement@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133784357",http://www.leeds.gov.uk,,,,01/04/2020,31/03/2021,19/01/2020,NO,,No,No,No,Services,79000,79000,30/01/2020,78922,"[Northgate Public Services (UK)Ltd|Queens Court
Wilmslow Road
Alderley Edge
Cheshire
SK9 7RR
|NONE||No|No]",,01/04/2020,31/03/2021,"DirectAward ",
BIP465190016,Contract,"Colchester Borough Council",Awarded,2020-01-17T13:50:03Z,"GB-Colchester: Built Environment and Regulatory System","Built Environment and Regulatory System via G-Cloud 11",,,"East of England","48000000 ",.,procurement@colchester.gov.uk,"Rowan House","33 Sheepen Road",Colchester,"CO3 3WG",UK,01206508637,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=465190016 ",,13/01/2020,12/01/2022,10/01/2020,NO,,No,Yes,No,Services,344000,,10/01/2020,344000,"[Northgate Public Services (UK) Ltd|Peoplebuilding 2
        Peoplebuilding Estate
        Marylands Avenue
        Hemel Hempstead
        HP2 4NW|NONE||No|No]",.,13/01/2020,12/01/2022,"NotSpecified ",
THANET001-DN452946-71241782,Contract,"Thanet District Council",Awarded,2019-12-11T12:51:42Z,"System licence,support and maintenance","System licence, support and maintenance - Please note this contract has already been awarded and is published for Transparency purposes only.",,,"South East","48000000 ","Linda Taylor",linda.taylor@thanet.gov.uk,"Thanet District Council","Cecil Street",Margate,"CT9 1XZ","United Kingdom","+44 1843577031",http://www.thanet.gov.uk/,,,,01/02/2020,31/01/2021,01/11/2019,NO,,Yes,No,No,Services,32716,32716,13/11/2019,32716,"[Northgate Public Services (UK) Ltd|Peoplebuilding Estate, Maylands Avenue, Hemel Hempstead, Herts|NONE||No|No]",,01/02/2020,31/01/2021,"Other ",
