"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
YORKCITY001-DN458090-12602753,Contract,"City of York Council",Awarded,2020-01-28T10:05:53Z,"The Provision of Heritage Consultancy, Conservation Engineering and Conservation Architecture Services For York City Walls","The Authority wishes to award a contract, or two separate contracts, for the provision of Heritage Consultancy
and Conservation Architecture Services (Lot 1) and Conservation Engineering Services (Lot 2)

Cared for by City of York Council, the City Walls (and St Mary's Abbey Precinct Walls) are a major feature of the
City of York's historic environment and are well-used by residents of, and visitors to, the city. The Council retains
a team of skilled stonemasons to carry out works on the walls and has committed one million Pounds Sterling
(£1,000,000) to the conservation needs of the City Walls over the next three (3) years.
Further information on the scopes of service required for each Lot is contained within the ITT documents.",,,"Yorkshire and the Humber","71200000 71600000 71310000 71330000 71350000 71322000 45212314 ","James Lee",james.lee@york.gov.uk,"West Offices","Station Road",York,"YO1 6GA",England,"+44 1904552952",http://www.york.gov.uk,,,,01/05/2020,30/04/2023,11/03/2020,NO,,Yes,No,No,Services,1000000,1000000,24/07/2020,1000000,"[Donald Insall Associates Ltd|CH1 1SA|NONE||Yes|No][Mason Clark Associates Ltd|HU5 2DW|NONE||Yes|No]","Ms Katie Harries",14/08/2020,13/08/2023,"Open ",,00:00
NELINCS001-DN453349-54180340,Contract,"North East Lincolnshire Council",Awarded,2020-03-03T00:00:00Z,"Development Appraisal and Design: Creative Industries Workspace, Kasbah Grimsby","ENGIE Services Ltd on behalf of North East Lincolnshire Council are seeking to appoint a suitably experienced team of consultants to undertake design development work in support of a transformational regeneration project in the historic 'Kasbah' area of the Port of Grimsby. 

The project, to deliver a Creative Industries Workspace, forms one strand of 'Open for Culture', one of five projects across England to receive funding and support via Arts Council England's Cultural Development Fund (CDF). The Workspace will also be integrated with the wider regeneration programme for Grimsby town centre and the waterfront, which forms an integral part of the Town Deal.      Tender document can be found using the following link  https://procontract.due-north.com/Advert?advertId=cb0b0547-fd1c-ea11-80fb-005056b64545&p=1c381835-7581-e611-8114-000c29c9ba21",,,"Yorkshire and the Humber","71000000 73000000 ","Christina Tabor",christina.tabor@nelincs.gov.uk,"New Oxford House","George Street",Grimsby,"DN31 1HB",England,"+44 1472326942",http://www.nelincs.gov.uk/,,,,20/01/2020,31/05/2020,15/01/2020,NO,,Yes,No,No,Works,70000,70000,10/02/2020,70000,"[Donald Insall Associates Ltd|CH1 1SA|NONE||Yes|No]","Mr Ian Doak",24/02/2020,30/06/2020,"Open ",
20200222170222-18,Contract,"London Borough of Lambeth",Awarded,2020-02-22T17:02:25Z,"WEST NORWOOD CEMETERY CONSERVATION AND REPAIR SERVICES","London Borough of Lambeth seeks to appoint a skilled consultancy team to lead the conservation and repair capital works (RIBA Stages 4-7) within one of London's historic sites, West Norwood Cemetery.  Specialisms required for Lot 1 include conservation and landscape architecture and project coordination and for Lot 2 civil engineering.
The delivering of capital works (RIBA works 4-7) is being offered in 2 Lots: 
Lot 1: Consultancy services and project co-ordination for conservation capital works  at West Norwood Cemetery 

And

Lot 2: Consultancy services for civil engineering (footpaths and drainage works)  at West Norwood Cemetery 

Organisations wishing to tender must demonstrate they can deliver high quality consultancy services, with previous experience of working in a historic setting and in particular historic cemeteries or parks/open spaces as well as demonstrating an understanding of the conservation specialisms which will be required during this project. 


Separate LBL appointments:  LBL will be making  separate appointments for an interpretation specialist, to oversee the implementation of the internal and external interpretation and exhibitions. Also LBL will be making a separate appointment for a Quantity Surveyor. All consultants will be required to work with these consultants when appointed.
",,,London,"71000000 71200000 71240000 71242000 71243000 71244000 71245000 71246000 71247000 71248000 71310000 71311000 71311300 71315000 71315200 71315210 71420000 71421000 71530000 71541000 ","Carole Ferguson",cferguson@lambeth.gov.uk,"Town Hall, Brixton Hill",,London,"SW2 1RW",ENG,"+44 2079261000",www.lambeth.gov.uk,,"https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=29998&B=LBLAMBETH https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/18 ",,02/12/2019,30/11/2022,17/10/2019,NO,,Yes,No,No,Services,0,420000,29/11/2019,383406.5,"[Donald Insall Associates Ltd|12 Devonshire Street
London
W1G 7AB
|NONE||No|No][Curtins Consulting Ltd|40 Compton Street
London
EC1V 0BD
|NONE||No|No]",,01/04/2020,31/03/2021,"Open ",
BATH001-DN430695-21088718,Contract,"Bath and North East Somerset Council",Awarded,2020-02-19T00:00:00Z,"Architectural Design Services Framework","Consultancy framework for Architectural Design Services",,,"South West","71220000 ","Emma Petch",procurement@bathnes.gov.uk,Guildhall,"High Street",Bath,"BA1 5AW","United Kingdom",,http://www.bathnes.gov.uk,,,,07/12/2019,31/12/2023,30/10/2019,NO,,No,No,No,Services,0,,30/11/2019,1200000,"[Donald Insall Associates Ltd|CH1 1SA|NONE||Yes|No][Ferguson Mann Architects|BS1 4EQ|NONE||Yes|Yes][Nash Partnership|BA2 6BZ|NONE||Yes|No][Aaron Evans Architects Ltd|BA1 2PH|NONE||Yes|No][BBA Architects|BA14 7UP|NONE||Yes|No][DKA|BA2 6BZ|NONE||Yes|No][SRA Architects|BA1 2LL|NONE||Yes|No][Quattro Design Architects Ltd|GL2 5QY|NONE||Yes|No]","Mr Ian Doak",18/02/2020,17/02/2024,"Open ",
