"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"546569 - ARCO LTD",Contract,"DEPARTMENT OF HEALTH AND SOCIAL CARE",Awarded,2020-07-06T13:57:01Z,"Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirmed Novel Coronavirus (COVID-19)","The Department of Health and Social Care (the ""Authority"") has awarded a contract to Arco Ltd for the supply of Personal Protective Equipment (hand sanitizer) to protect Health and Care workers from contracting the Covid 19 disease.",,,"United Kingdom","33741300 ","Department of Health and Social Care",Procurement.Operations@dhsc.gov.uk,"39 Victoria Street",,LONDON,"SW1H 0EU",England,"+44 2072104850",https://www.gov.uk/government/organisations/department-of-health-and-social-care,"Annex D1 - 546569.docx PO546569 Arco Ltd_Redacted.pdf ",,"Justification for the choice of the negotiated procedure without prior publication of a call for competition in accordance with Article 32:
Extreme urgency brought about by events unforeseeable for the contracting authority and in accordance with the strict conditions stated in the directive",07/05/2020,09/05/2020,06/05/2020,NO,,Yes,No,No,Products,1552500,,07/05/2020,1552500,"[Arco Ltd|P.o. Box 21, Waverley Street,
HU1 2SJ
GB|COMPANIES_HOUSE|00133804|No|No]",,07/05/2020,09/05/2020,"Other Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed in Annex D1",,17:00
546896,Contract,"DEPARTMENT OF HEALTH AND SOCIAL CARE",Awarded,2020-09-18T10:32:28Z,"Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirmed Novel Coronavirus (COVID-19)","The Department of Health and Social Care (the ""Authority"") has awarded a contract to Arco Ltd for the supply of Personal Protective Equipment (face guards) to protect Health and Care workers from contracting the Covid 19 disease.",,,"United Kingdom","35113410 ","Department of Health and Social Care",Procurement.Operations@dhsc.gov.uk,"39 Victoria Street",,LONDON,"SW1H 0EU",England,"+44 2072104850",https://www.gov.uk/government/organisations/department-of-health-and-social-care,"Annex D1 Arco.pdf Redacted5._Case_ID_7931_Arco_DHSC_Contract_for_Goods__Order_Form_April_2020_v5_1_Redacted (1).pdf ",,"Justification for the choice of the negotiated procedure without prior publication of a call for competition in accordance with Article 32

Extreme urgency brought about by events unforeseeable for the contracting authority and in accordance with the strict conditions stated in the directive",19/05/2020,19/05/2020,18/05/2020,NO,,No,No,No,Products,9327080,,18/05/2020,9327080,"[ARCO LTD|Hull
United Kingdom|NONE_OTHER||No|No]",,19/05/2020,19/05/2020,"Other Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed in Annex D1",,15:00
"HCC1811073 - AWARD",Contract,"Supply Hertfordshire",Awarded,2020-07-27T14:45:35Z,"HCC 10/19 - Framework Agreement for the Supply of Cleaning Chemicals, Soaps and Sanitisers - AWARD","This procurement has been awarded for Lot 1 only.
      
      Herts FullStop (HFS) (the trading arm of Hertfordshire County Council) is the Contracting Authority, which acted on behalf of the Participant, Hampshire County Council, leading on the procurement process to establish a Framework Agreement for the supply of Cleaning Chemicals, Soaps & Sanitisers. 
      
      This new framework for Cleaning Chemicals, Soaps and Sanitisers was in the following lots -
      
      - Branded Cleaning Chemicals, Soaps and Sanitisers (Lot 1)- Awarded
      - Non Branded equivalent Cleaning Chemicals, Soaps and Sanitisers (Lot 2) - Not awarded
      - Environmentally friendly Cleaning Chemicals, Soaps and Sanitisers (Lot 3) - Not awarded
      - The Essential Range (Lot 4) - Not awarded
      
      The successful tenderers for Lot 1 are as follows - 
      - Arco Limited
      - Bunzl UK Limited
      - Diversey Limited
      - Essity UK Limited
      - Forestdale Business Services Limited
      - Wightman and Parrish Services Limited
      - Yates Disposables Limited
      
      Contract Notice Number - 2019-OJS201-487940
      Award Notice Number - 2020-OJS146-360551",,"SG13 8DE","East of England","39830000 33711900 24000000 33741300 ","Anita Shipman (HCC)",anita.shipman@hertfordshire.gov.uk,"Pegs Lane",Hertford,Hertfordshire,"SG13 8DE","United Kingdom","01707 292601",,,,,01/02/2020,31/01/2024,21/11/2019,NO,,Yes,No,No,Products,1157000,1157000,29/06/2020,1157000,"[Arco Limited|PO Box 21, Waverley Street, Hull, United Kingdom, HU1 2SJ|NONE||No|No][Bunzl UK Ltd T/A Bunzl Cleaning & Hygiene Supplies|York House, United Kingdom, SL3 8XP|NONE||No|No][Diversey Ltd|Weston Favell Centre, United Kingdom, NN3 8PD|NONE||No|No][Essity UK Ltd|Southfields Road, Dunstable, United Kingdom, LU6 3EJ|NONE||No|No][Forestdale Business Services Ltd|Unit 10 Bunting Close, Mitcham, Surrey, United Kingdom, CR4 4ND|NONE||No|No][Wightman and Parrish Limited|2, Station Road industrial estate, Hailsham, East Sussex, United Kingdom, bn27 2qa|NONE||No|No][Yate Supplies|26 North Road, Yate, Bristol, United Kingdom, BS37 7PA|NONE||No|No]","Mark Eames",01/02/2020,31/01/2024,"Open ",,12:00
ncgcorporation001-DN418772-81300670,Contract,"NCG Corporation",Awarded,2019-06-27T10:09:37Z,"NCG190105T - Workwear for NCG *AWARD*","NCG have contracted with Arco Ltd for Workwear throughout Group via thew Crescent Purchasing Consortium framework CPC PPE & Clothing for the following Lots

Lot 1: PPE (Personal Protective Equipment) 
Lot 5: Security Uniforms
Lot 6: Hair and Beauty Uniforms
Lot 8: Food Industry Clothing",,,"Any region","18100000 ","Noel Proudfoot",Noel.Proudfoot@ncgrp.co.uk,"Rye Hill House","Rye Hill Campus, Scotswood Road","Newcastle upon Tyne","NE4 7SA","United Kingdom","+44 1912004091",https://www.ncgrp.co.uk,,,,30/04/2019,29/04/2021,16/04/2019,NO,,No,No,No,Products,500000,500000,24/04/2019,400000,"[Arco Limited|PO Box 21, Waverley Street, Hull, HU1 2SJ, United Kingdom|NONE||No|No]","Caroline Lowery",30/04/2019,29/04/2021,"DirectAward ",
"TRG 029",Contract,"The Riverside Group Ltd",Awarded,2020-07-15T16:22:21Z,"Health & Safety Training","Provision of Health & Safety Training and Consultancy",,,England,"71317210 ","Tony Mitchell",tony.mitchell@riverside.org.uk,"2, Estuary Boulevard, Speke",,LIVERPOOL,L248RF,England,01512956412,,,,,18/02/2019,16/02/2021,17/01/2019,NO,,Yes,Yes,No,Services,66000,,17/07/2020,66000,"[Arco|Longford Road Grovelands Industrial Estate
CV7 9ND
GB|COMPANIES_HOUSE|2712780|No|No]",,18/02/2019,16/02/2021,"OpenNonOJEU ",
"547107 Arco Ltd",Contract,"DEPARTMENT OF HEALTH AND SOCIAL CARE",Awarded,2020-09-18T10:39:46Z,"Contract title	Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirmed Novel Coronavirus (COVID-19)","The Department of Health and Social Care (the ""Authority"") has awarded a contract to SUPPLIER for the supply of Personal Protective Equipment (hand sanitiser) to protect Health and Care workers from contracting the Covid 19 disease.",,,"United Kingdom","33741300 ","Department of Health and Social Care",Procurement.Operations@dhsc.gov.uk,"39 Victoria Street",,LONDON,"SW1H 0EU",England,"+44 2072104850",https://www.gov.uk/government/organisations/department-of-health-and-social-care,"Annex D1 - 547107.docx ",,"Justification for the choice of the negotiated procedure without prior publication of a call for competition in accordance with Article 32:
Extreme urgency brought about by events unforeseeable for the contracting authority and in accordance with the strict conditions stated in the directive",25/05/2020,25/05/2020,24/05/2020,NO,,Yes,No,No,Products,3267000,,25/05/2020,3267000,"[Arco Ltd|P.o. Box 21, Waverley Street,
HU1 2SJ
GB|COMPANIES_HOUSE|00133804|No|No]",,25/05/2020,25/05/2020,"Other Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed in Annex D1",,15:00
c2f80486-65ec-4fea-a441-a15d8cc1aceb,Contract,"Crescent Purchasing Consortium (CPC)",Awarded,2020-02-03T15:00:05Z,"CA6925 - Supply of PPE, Clothing and Uniforms","CPC wants to continue its provision to its members of an easy to use and all-encompassing PPE, Clothing and Uniforms Framework listed with pre-evaluated, engaged and suitable suppliers.\
\
The tender is available for CPC Members and also Higher Education institutions via our colleagues in other Consortia, these include; \
\
CPC          https://www.thecpc.ac.uk/members/regions.php\
NWUPC 	http://www.nwupc.ac.uk\
NEUPC      http://www.neupc.ac.uk 	\
LUPC		http://www.lupc.ac.uk	\
SUPC	http://supc.ac.uk	\
TPL 		http://www.tuco.org		\
APUC	http://www.apuc-scot.ac.uk\
HEPCW	http://www.hepcw.ac.uk\
EANI         https://www.eani.org.uk/\
\
Future members of the CPC will also be able to access this framework and are listed here: https://www.gov.uk/guidance/get-information-about-schools.\
\
The tender is also available for the following UK public sector bodies (and any future successors to these organisations):\
\
https://www.thecpc.ac.uk/suppliers/eligible-public-sector-bodies.php \
\
\
\
\
Includes Lots: \
Lot 1: Lot 1 - PPE (Personal Protective Equipment)\
Lot 2: Lot 2 - Clothing\
Lot 3: Lot 3 - Uniforms\
Lot 4: Lot 4 - One Stop Shop\
Lot 5: Lot 5 - First Aid Kits, Equipment and Accessories\
\
To access this competition: \
\
Registered:\
Login to https://suppliers.multiquote.com and view the opportunity CA6925.\
\
Not registered:\
Visit https://suppliers.multiquote.com then register and quote CA6925 as the reason for registration. \
\
 Any queries please contact MultiQuote on 0151 482 9230.",,"M6 6AJ","Any region","18000000 ","Myles Woodman",support@multiquote.com,"Procurement House","Leslie Hough Way",Salford,"M6 6AJ",England,"0151 482 9230",https://suppliers.multiquote.com,,,,10/05/2020,09/05/2022,10/05/2020,NO,,Yes,No,No,Services,20000000,20000000,22/05/2020,500000,"[Arco Ltd|Waverley Street, , HULL, HU1 2SJ|NONE||No|No][Hardedge Ltd|Unit 10 &11 Spring Rd Est Ind, Spring Rd, Wolverhampton, WV4 6LF|NONE||No|No][LA Safety Supplies Ltd|Boultbee Business Units, , Birmingham, B7 5AR|NONE||No|No][Arden Winch & Co Ltd|Acres Hill Lane, , Sheffield, S9 4LR|NONE||No|No][DIRECT CORPORATE CLOTHING PLC|DIRECT 2 INDUSTRIAL PARK, ROWAY LANE, oldbury, B69 3ES|NONE||No|No][Trinity Workwear|Carrington Business Park, Manchester Road, Manchester, M31 4DD|NONE||No|No][La clothing Solutions|9 , boultbee  buiness units, birmingham, b7 5ar|NONE||No|No][CMT GROUP|Trident Works, Mulberry Way, Belvedere, DA17 6AN|NONE||No|No][Arco Ltd|Waverley Street, , HULL, HU1 2SJ|NONE||No|No][Complete Business Solutions Group Ltd|ASSET HOUSE , 63 PENARTH ROAD, CARDIFF, CF10 5RA|NONE||No|No][LA Safety Supplies Ltd|Boultbee Business Units, , Birmingham, B7 5AR|NONE||No|No][Partridge Peartree Promotions Ltd|15a Carrakeel Drive, Maydown Industrial Estate, L' Derry, BT47 6UQ|NONE||No|No][MWUK t/a Alexandra|West Park House, Midland Way, Thornbury, BS35 2NT|NONE||No|No][Arden Winch & Co Ltd|Acres Hill Lane, , Sheffield, S9 4LR|NONE||No|No][La clothing Solutions|9 , boultbee  buiness units, birmingham, b7 5ar|NONE||No|No][DIRECT CORPORATE CLOTHING PLC|DIRECT 2 INDUSTRIAL PARK, ROWAY LANE, oldbury, B69 3ES|NONE||No|No][Arden Winch & Co Ltd|Acres Hill Lane, , Sheffield, S9 4LR|NONE||No|No][Speed One Sports|126 New John Street, , Birmingham, B6 4LD|NONE||No|No][Partridge Peartree Promotions Ltd|15a Carrakeel Drive, Maydown Industrial Estate, L' Derry, BT47 6UQ|NONE||No|No][La clothing Solutions|9 , boultbee  buiness units, birmingham, b7 5ar|NONE||No|No][Toppers|Unit D1, Llanelli Gate Business Park, Carmarthenshire, SA14 8LQ|NONE||No|No][LA Safety Supplies Ltd|Boultbee Business Units, , Birmingham, B7 5AR|NONE||No|No][Complete Business Solutions Group Ltd|ASSET HOUSE , 63 PENARTH ROAD, CARDIFF, CF10 5RA|NONE||No|No][Trinity Workwear|Carrington Business Park, Manchester Road, Manchester, M31 4DD|NONE||No|No][LA Safety Supplies Ltd|Boultbee Business Units, , Birmingham, B7 5AR|NONE||No|No][Arden Winch & Co Ltd|Acres Hill Lane, , Sheffield, S9 4LR|NONE||No|No][La clothing Solutions|9 , boultbee  buiness units, birmingham, b7 5ar|NONE||No|No][Arden Winch & Co Ltd|Acres Hill Lane, , Sheffield, S9 4LR|NONE||No|No][CMT GROUP|Trident Works, Mulberry Way, Belvedere, DA17 6AN|NONE||No|No][Arco Ltd|Waverley Street, , HULL, HU1 2SJ|NONE||No|No][Reliance Medical Ltd|West Avenue, Talke, Stoke-on-Trent, ST7 1TL|NONE||No|No][LA Safety Supplies Ltd|Boultbee Business Units, , Birmingham, B7 5AR|NONE||No|No][Toppers|Unit D1, Llanelli Gate Business Park, Carmarthenshire, SA14 8LQ|NONE||No|No][Trinity Workwear|Carrington Business Park, Manchester Road, Manchester, M31 4DD|NONE||No|No][La clothing Solutions|9 , boultbee  buiness units, birmingham, b7 5ar|NONE||No|No]","Mark Eames",10/05/2020,09/05/2022,"Open ",
CBC013,Contract,"Charnwood Borough Council Recycling",Awarded,2020-10-21T12:10:15Z,"Personal Protective Equipment & Clothing","Charnwood Borough Council will access Eastern Shires Purchasing Organisation (ESPO) Framework Contract 144_19, Lot 1 for the provision of Personal Protective Equipment (PPE) and Clothing. 

The contract is for 2 years and will commence on the 14th Sept 2020.",,,"East Midlands","35113400 ","Paul McManus",Paul.McManus@charnwood.gov.uk,"Southfield Road",,LOUGHBOROUGH,LE112TX,England,"01509 634547",,,,,14/09/2020,13/09/2022,25/08/2020,NO,,Yes,Yes,No,Products,40000,,14/09/2020,40000,"[Arco Ltd|PO Box 21
Waverley Street
Hull
HU1 2SJ|NONE_OTHER||No|No]",,14/09/2020,13/09/2022,"CallOffFromFrameworkAgreement ",,17:00
REDBR001-DN503837-57169636,Contract,"London Borough of Redbridge",Awarded,2020-10-19T11:01:33Z,"Hainalt Forest Asbestos Removal","To undertake asbestos removal and demolition of existing building at Hainault Forest.",,,England,"71000000 ","Shamim Akhter",Shamim.Akhter@redbridge.gov.uk,"London Borough of Redbridge","Lynton House, 255-259, High Road,",Ilford,"IG1 1NY",England,"+44 2087086773",http://www.redbridge.gov.uk/,,,,04/11/2020,04/12/2020,16/10/2020,NO,,No,No,No,Works,79280,79280,19/10/2020,79280,"[Arco Environmental Ltd|Unit 8, Ashton Gate, Industrial Estate, Ashton Road, Romford.  RM3 8UF|NONE||No|No]","Simon Wass",04/11/2020,04/12/2020,"Open ",,23:59
P5695,Contract,"Medicines & Healthcare Products Regulatory Agency",Awarded,2020-10-02T09:39:07Z,"Supply of PPE, Clothing and FIrst Aid Kits","This is a contract derived from a Crescent Purchasing Consortium Framework Agreement SEC3133 CPC for the supply of Personal Protective Equipment (Lot 1): Clothing (Lot 2) & First Aid Kit/Refills (Lot 3).

The agreement started on the 10/05/2020 and runs for an initial 2-year period until 09/05/2022 with a potential 2 x 1 year extensions until 09/05/2024.",,,"East of England","18000000 ","Rene Kiliaan",rene.kiliaan@nibsc.org,"10 South Colonnade Canary Wharf",,LONDON,E144PU,England,"01707 641212",,,,,24/09/2020,23/10/2024,01/09/2020,NO,,No,No,No,Products,100,,24/09/2020,100000,"[Arco Limited|P.O. Box 21, 
Waverley Street, 
Hull, 
North Humberside, 
HU1 2SJ|COMPANIES_HOUSE|00133804|No|No]",,24/09/2020,09/05/2024,"CallOffFromFrameworkAgreement ",,00:00
GMCA001-DN485772-25733434,Contract,"Greater Manchester Combined Authority",Awarded,2020-07-03T16:39:25Z,"Type iiR Facemask 1.3M","Supply and delivery of 1.3m Type iiR Facemasks awarded under Regulation 32(2)c due to Coronavirus - extreme urgency",,,"North West","33140000 ",,procurement@manchesterfire.gov.uk,"Greater Manchester Fire and Rescue Service Headquarters","146 Bolton Road, Swinton",Salford,"M27 8US","United Kingdom","+44 1616084418",http://www.manchesterfire.gov.uk/,,,"
Supply and delivery of 1.3m Type iiR Facemasks awarded under Regulation 32(2)c due to Coronavirus - extreme urgency",28/03/2020,27/05/2020,26/03/2020,NO,,No,No,No,Products,715000,,27/03/2020,715000,"[Arco Ltd|Tenax Circle
Trafford Park
Manchester
M17 1EZ|NONE||No|No]",,28/03/2020,27/05/2020,"AwardWithoutPriorPublication ",
