"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
SHEPWAY001-DN338784-87372356,Contract,"Folkestone and Hythe District Council",Awarded,2020-09-17T15:53:10Z,"Otterpool Park: Negotiation of Options to Purchase Land (OPCB)","Further to previous advice (contract DN327056) Savills valuers are appointed to negotiate with other landowners either options to purchase or outright purchases of land within the site of the proposed Otterpool New Town.

Commission on behalf of the Otterpool Park Collaboration Board.",,,"South East","70122200 ","Mhairi Richards",mhairi.richards@folkestone-hythe.gov.uk,"Civic Centre",,Folkestone,"CT20 2QY",England,"+44 1303853401",https://www.folkestone-hythe.gov.uk/your-council/council-information/contracting,,,,24/04/2018,31/03/2020,16/04/2018,NO,,Yes,No,No,Services,30000,30000,23/04/2018,30000,"[Savills (UK) Ltd|W1G 0JD|NONE||No|Yes]","Savills (UK) Ltd Emily Simpson",24/04/2018,31/03/2020,"Other ",,23:59
"CWSCC - 017046 - AWARD",Contract,"SE Shared Services",Awarded,2017-11-17T13:58:48Z,"WSCC DR - Pension Fund Independent Property Valuation RFQ - AWARD","The Council requires the provision of independent property valuation for the UK portfolio presently managed by Aberdeen Standard, valued at approximately £285.8 million. There are 27 direct properties currently within the portfolio. The Fund does not have any investment in indirect property units / funds. The services under the contract are described in detail in Attachment 02 the Service Specification.",,"PO19 1RQ","South East","66171000 ","David Robinson (WSCC)",david.robinson@westsussex.gov.uk,"West Street",Chicester,"West Sussex","PO19 1RQ","United Kingdom","03302 226995",,,,,02/01/2018,31/12/2020,17/11/2017,NO,,No,No,No,Services,0,81000,17/11/2017,0,"[Savills (UK) ltd|33 Margaret Street, London, United Kingdom, W1G 0JD|||No|No]","Alex Dawson",02/01/2018,31/12/2020,"Other ",
HCA001-DN287142-52616422,Contract,"Homes and Communities Agency",Awarded,2017-11-02T12:10:09Z,"Tipner East Accelerated Construction Property Advice","Property advice in the disposal of HCA's land ownership at Tipner, Portsmouth.

https://www.gov.uk/government/publications/hca-contracts-and-tenders",,,"South West","70000000 ",,mail@homesandcommunities.co.uk,Rivergate,"Temple Quay",Bristol,"BS1 6EH","United Kingdom",,,,"https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=04f760d4-7365-e711-80e3-005056b64545&returnPage=ContractsRegisterSettings ",,27/08/2017,01/05/2018,15/07/2017,NO,,Yes,No,No,Services,32500,,15/08/2017,32500,"[Savills (UK) Ltd|W1G 0JD|||No|No]","Ms Jacqui Gee",27/08/2017,01/05/2018,"NotApplicable ",
HCA001-DN285976-75424446,Contract,"Homes and Communities Agency",Awarded,2017-08-25T11:03:57Z,"Property Panel - Farnborough Police Station and the Civic Quarter","Property Consultant to:

Support the HCA in delivering an outline planning application on the former Police Station site, Farnborough.

Support the HCA in securing a development partner for the former Police Station site.

Support the HCA in delivering the wider Civic Quarter masterplan.

https://www.gov.uk/government/publications/hca-contracts-and-tenders",,,"South West","70000000 ",,mail@homesandcommunities.co.uk,Rivergate,"Temple Quay",Bristol,"BS1 6EH","United Kingdom",,,,"https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=ca5b1b7c-0060-e711-80e3-005056b64545&returnPage=ContractsRegisterSettings ",,01/08/2017,31/10/2018,21/07/2017,NO,,Yes,No,No,Services,58300,,25/08/2017,58300,"[Savills (UK) Ltd|W1G 0JD|||Yes|No]","Ms Jacqui Gee",29/08/2017,31/10/2018,"NotApplicable ",
000164,Contract,"TEES VALLEY COMBINED AUTHORITY",Awarded,2020-10-15T09:06:43Z,"Brownfield Housing Fund Programme Development","•	Production of seven (7) green book compliant business cases for housing site projects in year 1 of the BHF scheme (2020/21) that meet the requirements of TVCA's Assurance Framework, with potential for the extension of the commission for a further year (at TVCA's option;
•	Production and review of a comprehensive assessment matrix of the potential longlist of pipeline schemes to support the prioritisation for the BHF programme for years 2-5; 
•	Contribution to the development of a Programme Management framework to ensure we maximise return on current and any potential future funding allocations.",,,"North East","71315200 ","Janice Brodie",Janice.Brodie@teesvalley-ca.gov.uk,"Cavendish House, Teesdale Business Park",,Stockton-on-tees,TS176QY,England,"01642 524434",,,,,19/10/2020,31/03/2021,04/09/2020,NO,,Yes,No,No,Services,185000,,19/10/2020,185000,"[Savills UK Ltd|12 Booth Street, Manchester
M2 4AW|COMPANIES_HOUSE|02605138|Yes|No]",,20/10/2020,31/03/2021,"CallOffFromFrameworkAgreement ",,17:00
BRISTOLCC001-DN481580-78146801,Contract,"Bristol City Council",Awarded,2020-10-07T16:07:00Z,"Hengrove Park - Workpackage of Property Consultancy Services","Procure a Workpackage of Property Consultancy Services, to support Delivery of Redevelopment of Hengrove Park, including delivery of new housing development in phases over the next c. 5 years.  Call-off via Procurement Hub Professional Services Framework 2018-2022.",,,"South West","71311000 ","Lucy Ford",lucy.ford2@bristol.gov.uk,"Bristol City Council","P O Box 3176",BRISTOL,"BS3 9FS","United Kingdom","+44 1173521281",https://www.bristol.gov.uk/,,,,15/06/2020,31/12/2025,02/06/2020,NO,,Yes,Yes,No,Services,205000,205000,14/06/2020,205000,"[Savills (UK) Ltd|W1G 0JD|NONE||No|No]",,15/06/2020,31/12/2025,"Open ",,12:00
BRISTOLCC001-DN481693-31101790,Contract,"Bristol City Council",Awarded,2020-06-09T12:42:29Z,"Planning Consultancy - Temple Square CPO","Planning Consultancy in support of Temple Square CPO",,,England,"90712100 ","Gary Price",g.price@bristol.gov.uk,"Bristol City Council","City Hall, College Green",Bristol,"BS1 5TR",England,,https://www.bristol.gov.uk/,,,,01/02/2020,31/01/2021,30/01/2020,NO,,No,No,No,Services,70000,70000,31/01/2020,70000,"[Savills (UK) Ltd|33 Margaret Street, London.W1G 0JD|NONE||No|No]",,01/02/2020,31/01/2021,"Open ",
tender_230885/857255,Contract,oneSource,Awarded,2020-05-22T09:37:04Z,"LBN- Buyback Chartered Surveyors For Carpenters, Custom House and Canning Town","Contract Award Notice for Chartered Surveyors to represent the Council in the purchasing of Leasehold and Freehold interests in the Carpenters Estate, Custom House and Canning Town Estates as part of the Regeneration Programme.",,"E16 2QU",London,"71324000 ","Senior Procurement Consultant",bola.soko@newham.gov.uk,London,,London,"E16 2QU",England,02033731758,,,,,13/04/2020,13/05/2024,21/02/2020,NO,,Yes,No,No,Services,110100,110100,13/04/2020,110100,"[Savills (UK) Ltd|33 Margaret Street London W1G 0JD|NONE_OTHER||No|No]",,13/04/2020,13/05/2024,"OpenNonOJEU ",
FRA2019,Contract,"London Borough Of Camden Council",Awarded,2019-10-28T15:46:11Z,"Street Property Fire Risk Assessments","Programme of up to 1,000 Fire Risk Assessments (FRAs) on Camden street properties through the Places for People Professional Services Framework. The Council has a duty under the Regulatory Reform (Fire Safety) Order 2005 to undertake such inspections on a regular basis to ensure that its' properties meet the relevant health and safety, and fire regulation requirements.",,,London,"71317100 ","Roopam Bhachu",procurement@camden.gov.uk,"Kings Cross",,LONDON,WC1H9JE,England,,,,,,28/10/2019,31/03/2020,12/08/2019,NO,,No,No,No,Services,350000,,21/10/2019,350000,"[Savills UK Ltd|33 Margaret Street
London
W1G 0JD|NONE||No|No]",,28/10/2019,31/03/2020,"CallOffFromFrameworkAgreement ",
BRISTOLCC001-DN282238-48889983,Contract,"Bristol City Council",Awarded,2019-03-20T19:20:42Z,"Development consultancy advice for Hengrove Park and Hartcliffe","Provide market intelligence, valuation and delivery strategy advice in addition to running financial sensitivity testing on the bespoke model that was procured under the South Bristol Housing Zone Feasibility study.",,,"South West","71530000 ","Jacqueline Miller",jacqueline.miller@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR",England,"+44 1173521181",https://www.bristol.gov.uk/,,,,17/07/2017,31/12/2018,05/05/2017,NO,,Yes,Yes,No,Services,0,,15/06/2017,0,"[Savills (UK) Ltd|W1G 0JD|NONE||No|No]","Ms Jacqui Gee",17/07/2017,30/11/2017,"Open ",
"GBC - 021110 - AWARD",Contract,"SE Shared Services",Awarded,2018-10-30T09:21:21Z,"GBC - SM - Ash Road Bridge - Project Land Services - 20180716 - AWARD","Request for quote for the provision of land services and strategic support for the Ash Road Bridge Project",,"GU2 4BB","South East","70122000 70332100 ","Samantha Mills (GBC)",Samantha.Mills@guildford.gov.uk,Guildford,Surrey,SurreY,"GU2 4BB","United Kingdom","01483 444 084",http://www.guildford.gov.uk,,,,30/07/2018,31/03/2021,25/07/2018,NO,,No,No,No,Services,0,,27/07/2018,0,"[Savills (UK) ltd|33 Margaret Street, London, United Kingdom, W1G 0JD|NONE||No|No]","Alex Dawson",30/07/2018,31/03/2021,"Other ",
ST/NW/devco,Contract,"West Lancashire Borough Council",Awarded,2018-05-31T16:05:43Z,"Project Consultancy","Provision of Project consultancy to support the set up and establishment of a development company including developing a business plan and financial model",,,"North West","72224000 ","Steve Tinsley",stephen.tinsley@westlancs.gov.uk,"52 Derby Street",,ORMSKIRK,L392DF,England,"01695 585160",www.westlancs.gov.uk,,,,01/05/2018,30/11/2018,27/04/2018,NO,,Yes,No,No,Services,34000,,27/04/2018,34000,"[Savills (UK) Ltd|33 Margaret Street
London
W1G 0JD|NONE||No|No]",,01/05/2018,30/11/2018,"CallOffFromFrameworkAgreement ",
WPH2018/003,Contract,"MAGENTA LIVING",Awarded,2018-04-26T10:28:00Z,"Stock Condition and Fire Risk Surveys","Housing Stock condition surveys and fire risk assessments",,,"North West","71315200 ","Ian Roughley",ianroughley@magentaliving.org.uk,"Partnership Building","Hamilton Street",Birkenhead,"CH41 5AA",England,,www.magentaliving.org.uk,,,,01/02/2018,02/09/2019,02/01/2018,NO,,Yes,Yes,No,Services,900000,,02/01/2018,900000,"[Savills (UK) Ltd|33 Margaret Street
London
W1G 0JD|COMPANIES_HOUSE|2605138|No|No]","James Sparrow",01/02/2018,02/09/2019,"CallOffFromFrameworkAgreement ",
HCA001-DN263142-91875670,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2018-03-12T15:48:00Z,"HCA - Property- Disposal - Phase 1, Houghton Grange, St. Ives, Cambridgeshire","Appointment of property advisor in relation to the disposal of Phase 1 at Houghton Grange.",,,"East of England","70000000 ",,etendering@homesengland.gov.uk,Eastbrook,"Shaftesbury Road",Cambridge,"CB2 8BF","United Kingdom",,,,,,19/05/2017,31/12/2017,12/05/2017,NO,,Yes,No,No,Services,48500,,19/05/2017,48500,"[Savills (UK) Ltd|W1G 0JD|NONE||Yes|No]","Mr Alex Dawson",20/05/2017,31/08/2018,"NotApplicable ",
tender_162335/641134,Contract,"City of London Corporation",Awarded,2018-01-02T13:19:02Z,"Stock Condition Surveys","-	Develop future repair and maintenance liabilities forecast over the next 30 years;
-	Understand the Corporation's current position in relation to Decent Homes;
-	Create and model different standards of repairs from a 'cost floor' to 'aspirational standard' and understand the financial, technical and procurement issues surrounding them (particularly in light of recent government housing policy resulting in a 1% annual rent reduction up until 2019/20);
-	Have good information on the condition of block external and internal communal areas due to the high number of leaseholders in our housing stock;
-	Provide quality data to help inform our asset management strategy, business planning, asset performance modelling and investment planning tools",,,London,"71315300 ","Michael Harrington",Michael.Harrington@cityoflondon.gov.uk,Guildhall,,London,"EC2P 2EJ",England,,,,,,01/05/2017,31/10/2017,31/03/2017,NO,,Yes,No,No,Services,176265,,31/03/2017,176265,"[Savills UK ltd|33 Margaret Street, London W1G 0JD|NONE||No|No]",,01/05/2017,31/10/2017,"Other ",
PC633/2,Contract,"Staffordshire County Council",Awarded,2017-04-06T09:48:04Z,"Independent Property Valuer","the framework is for an agreement between the appointed economic operator and Staffordshire County Council, acting in its capacity as the administering authority of the Staffordshire Pension Fund, to supply an independent property valuation service in accordance with the terms as agreed within the framework.

The framework will be for a period of 4 years. 1st February 2017 - 31st January 2021. Individual call off from the intended parties can be for a period of up to no more than 5 years.

Staffordshire Pension Fund is currently working alongside several other LPGS funds to collectively pool assets in accordance with the governments pooling initiative. The pool is know as LGPS Central and comprises of 9 Funds.",,,"West Midlands","70332200 ",,laura.kendall@staffordshire.gov.uk,"Tipping Street",,Stafford,"ST16 2DH",England,,,,,,01/02/2017,31/01/2021,05/12/2016,NO,,Yes,Yes,No,Services,1200000,,17/01/2017,1532900,"[Savills (UK) Ltd|33 Margaret Street
London
W1G 0JD|||No|No]",,01/02/2017,31/01/2021,"Open ",
4516,Contract,"HOMES & COMMUNITIES AGENCY",Awarded,2017-03-10T12:09:58Z,"Chalgrove Phase 2","Financial modelling, disposal strategy, valuation and appraisal, negotiation support.",,,"South West","70000000 ",,mail@homesandcommunities.co.uk,Rivergate,"Temple Quay",Bristol,"BS1 6EH",England,,,"4516-ITP-Chalgrove Phase 2.docx ","https://www.gov.uk/government/publications/hca-contracts-and-tenders ",,07/10/2016,31/01/2017,06/10/2016,NO,,No,No,No,Services,67000,,06/10/2016,67000,"[Savills UK Ltd|33 Margaret Street, London, W1G 0JD|||No|No]",,07/10/2016,31/01/2017,"AwardWithoutPriorPublication ",
