"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP84998845,Contract,"Ministry of Defence, DSG, Defence Support Group (DSG)",Awarded,2020-07-23T14:00:11Z,"The Repair of Escapade Line Replacement Units (LRU's) and associated Assemblies","Babcock Land Defence Limited, acting as agent to the UK Ministry of Defence, intends to negotiate a Single Source Contract with Thales UK Limited for the repair and maintenance of Escapade Vehicle Assemblies. The contract shall be for the duration of 5 years with the option to extend for a further 2 x 1 year options.",,,Scotland,"50110000 ",,Jonathan.Bamford@babcockinternational.com,"Building B15","MoD Donnington",Telford,"TF2 8JT",UK,+441952967270,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Telford: Repair and maintenance services of motor vehicles and associated equipment.'.",31/01/2021,31/01/2028,30/06/2020,NO,,No,No,No,Services,3908000,,30/06/2020,3908000,"[Thales UK Limited|1 Linthouse Road
        Glasgow
        G51 4BZ|NONE||No|No]",,31/01/2021,31/01/2028,"NotSpecified ",
BIP76938403,Contract,"Ministry of Defence, ISTAR, Situational Awareness Command and Control (SACC) Delivery Team",Awarded,2019-07-28T09:07:03Z,"In-Service Support to the Tactical Air Control Centre (TACC)","Provision of 10 months In-Service Support to the Tactical Air Control Centre (TACC) with a further Option to extend for 12 months with the Design Authority for the TACC system, Thales UK Limited.",,,"South West","75220000 ",,jack.morgan163@mod.gov.uk,"MOD Abbey Wood",,Bristol,"BS34 8JH",UK,+44030679-83710,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Defence services.'.",01/11/2019,31/08/2020,24/07/2019,NO,,No,No,No,Services,3200000,,24/07/2019,3200000,"[Thales UK LImited|Ocean House
        Templcombe
        BA8 0DH|NONE||No|No]",,01/11/2019,31/08/2020,"NotSpecified ",
MCS/1039,Contract,"MINISTRY OF DEFENCE",Awarded,2019-06-06T11:58:12Z,"The Provision of Gibraltar Vessel Tracking System  (GVTS)","The Provision of Gibraltar Vessel Tracking System (GVTS), awarded to Thales UK Limited on 01/04/2019. A Contract Award Notice was published on the Official Journal of the European Union (OJEU) on 05/04/2019 under reference 2019/S 068-161129. 

In Service Date (ISD) is scheduled for 01/04/2020 with the provision of in-service support for a period of five years to 31/03/2025.  The Contract has an option for a technical refresh of GVTS and provision for a further five years of in-service support upon completion of the initial five year in-service phase.",,,"North West","35722000 ","Oliver Prideaux",oliver.prideaux100@mod.gov.uk,"#3133 Birch 1a","MOD Abbey Wood",Bristol,"BS34 8JH",England,"030 679 35278",https://www.gov.uk/government/organisations/defence-equipment-and-support,"20190510_MCS1039_T_&_C_Part_1_Redacted_Scanned.pdf 20190510_MCS1039_T_&_C_Part_2_Redacted_Scanned.pdf 20190510_MCS1039_T_&_C_Part_3_Redacted_Scanned.pdf 20190510_MCS1039_Annex_A_SOTR_Redacted_Scanned.pdf 20190510_MCS1039_Annex_B_SOW_Part_1_Redacted_Scanned.pdf 20190510_MCS1039_Annex_B_SOW_Part_2_Redacted_Scanned.pdf 20190510_MCS1039_Annex_C_Rates_Redacted_Scanned.pdf 20190510_MCS1039_Annex_D_Tasking_Form_Redacted_Scanned.pdf 20190510_MCS1039_Annex_E_Task_Record_Redacted_Scanned.pdf 20190510_MCS1039_Annex_F_GFA_Final_Redacted_Scanned.pdf 20190510_MCS1039_Annex_G_IPR_Register_Redacted_Scanned.pdf 20190510_MCS1039_Annex_H_CDR_315_Redacted_Scanned.pdf 20190510_MCS1039_Annex_J_KPI_Redacted_Scanned.pdf 20190510_MCS1039_Annex_K_Deliverable_Documentation_Redacted_Scanned.pdf 20190510_MCS1039_Annex_L_SAL_UK_Redacted_Scanned.pdf 20190510_MCS1039_Annex_M_Payment_Plan_Redacted_Scanned.pdf 20190510_MCS1039_Annex_O_ADE_Redacted_Scanned.pdf 20190510_MCS1039_Annex_P_TUPE_Redacted_Scanned.pdf 20190510_MCS1039_Annex_P_TUPE_Appendix_2_Redacted_Scanned.pdf 20190510_MCS1039_Annex_Q_ITEAP_Redacted_Scanned.pdf 20190510_MCS1039_Annex_R_DEFFORM_701_&_Appendix_Redacted_Scanned.pdf 20190510_MCS1039_Annex_S_Appendix_1_CEA_Hardware_Redacted_Scanned.pdf 20190510_MCS1039_Annex_S_Appendix_2_CEA_Software_Redacted_Scanned.pdf ",,,01/04/2019,31/03/2025,30/03/2019,NO,,Yes,No,No,Products,6787000,6787000,31/03/2019,6787000,"[Thales UK Limited|Dolphin House, 
Ashurst Drive, 
Cheadle Heath, 
Stockport, 
Cheshire,
SK3 0XB
United Kingdom|COMPANIES_HOUSE|00868273|No|No]","Hazel Bailey",01/04/2019,31/03/2025,"CompetitiveProcedureWithNegotiationOJEU ",
BIP42687022,Contract,"Ministry of Defence, Ships, Maritime Combat Systems (MCS) Team",Awarded,2016-06-05T12:48:18Z,"In-Service Support of the Fully Integrated Communications System","Fully Integrated Communications System In-Service Support for Type 45 Destroyers.

The United Kingdom Ministry of Defence (the “Authority”) intends to amend the existing communications system support contract with Thales UK Limited (company number 0868273) (the “Company”), reference FWS2D/1011, to cover communications system equipment fitted to in service Royal Navy Type 45 Destroyers (Type 45).

The term of the contract amendment is 7 (seven) months for the period 1 December 2016 to 30 June 2017.  This contract amendment will enable continuation of support for these in service equipments.  The estimated value of this contract amendment over the 7 (seven) month period is £3,000,000 (Three Million Pounds Sterling).

The contract amendment will cover the support of the Type 45 Fully Integrated Communications System (FICS) comprising of components, software, electronic and electrical sub-systems.",,,"South East","50334400 ",,DESShipsComrcl-MCS-3b@mod.uk,"Secretary for State of Defence","Main Building",London,"SW1A 2HB",UK,+443067988608,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'UK-London: Communications system maintenance services.'. ",01/12/2016,30/06/2017,23/03/2016,NO,,No,No,No,Services,3000000,,23/03/2016,3000000,"[Thales UK Limited|Manor Royal
West Sussex
Crawley
RH10 9HA|||No|No]",,01/12/2016,30/06/2017,"NotSpecified ",
Helsme/0013,Contract,"Ministry of Defence",Awarded,2019-04-03T14:06:44Z,"Sea King ASaC Full Mission Trainer (FMT) Support","For transparency purposes only

The purpose of this notice is to announce the award of contract for the provision of availability of staff to run and maintain the training simulator at Culdrose to Thales UK.",,,"South West","34152000 ",,DesMerlin-Comrcl12@mod.gov.uk,"Centenary House, Building 100, Box 146, AgustaWestland | Lysander Road",,Yeovil,"BA20 2YB",England,,,"Helsme0013 redacted Contract.pdf ",,,03/09/2018,30/09/2019,02/09/2018,NO,,No,No,No,Services,348589,,02/09/2018,348589,"[THALES UK LIMITED|Green Park
READING
Berkshire
RG2 6GF
GB|COMPANIES_HOUSE|00868273|No|No]",,03/09/2018,30/09/2019,"SingleTenderActionNonOJEU ",
ITPD0181,Contract,"HIGHWAYS ENGLAND COMPANY LIMITED",Awarded,2019-11-27T14:01:41Z,"Connectivity Tactical Solution","Deployment of tactical connectivity solution to Highways England sites.",,,"Any region","72000000 ",,transparencysgrm@highwaysengland.co.uk,"Highways England","The Cube",Birmingham,"B1 1RN",England,,,," ",,03/06/2019,28/02/2020,02/06/2019,NO,,Yes,No,No,Services,964585.83,964585.83,02/06/2019,964585.83,"[Thales UK Limited|350 Longwater Avenue, Green Park, Reading, Berkshire, RG2 6GF|NONE||No|No]",,03/06/2019,28/02/2020,"SingleTenderActionNonOJEU ",
BIP70944220,Contract,"Ministry of Defence, Helicopters, Chinook Project Team",Awarded,2019-03-14T11:15:25Z,"Ground Mission Support System (GMSS) Interim Support Contract","An interim contract to support the Chinook Ground Mission Support System (GMSS) which will continue the current GMSS support arrangement to avoid a critical capability gap arising. It will aim to satisfy regulatory requirements and limit contractor rates and profits, refresh Contract Terms and Conditions (T&Cs) to align with current departmental policy, Upgrade GMSS as required by the Authority, Manage obsolescence issues that are likely to impact GMSS products within the future support period and will Provide a period prior to a longer term future support QDC contract which will fulfil User needs for a complete software rewrite.",,,"South West","48130000 ",,Isabelle.Hart100@mod.gov.uk,"Teak Lvl1 #5101","Abbey Wood North",Bristol,"BS34 8QW",UK,+443067937765,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Aviation ground support and test software package.'.",18/12/2018,30/11/2020,18/12/2018,NO,,No,No,No,Services,4784618,,18/12/2018,4784618,"[Thales Uk Limited|Manor Royal
        Crawley
        RH109HA|NONE||No|No]",,18/12/2018,30/11/2020,"NotSpecified ",
"IT Connectivity",Contract,"HIGHWAYS ENGLAND COMPANY LIMITED",Awarded,2019-03-06T15:07:03Z,"IT Connectivity","IT Network Connectivity",,,"Any region","72000000 ",,transparencysgrm@highwaysengland.co.uk,"The Cube",,Birmingham,"B1 1RN",England,,,,,,01/01/2019,31/12/2019,31/12/2018,NO,,No,No,No,Services,6410000,,31/12/2018,6410000,"[Thales UK Limited|350 Longwater Avenue, Reading, RG2 6GF|NONE||No|No]",,01/01/2019,31/12/2019,"SingleTenderActionNonOJEU ",
"WP1602 Certification Lead for Verify",Contract,"Government Digital Service",Awarded,2018-06-08T09:53:49Z,"WP1602 Certification Lead for Verify","To review existing certification process for GOV.UK Verify.",,,London,"72000000 ","Tim Carter",tim.carter@digital.cabinet-office.gov.uk,"The White Chapel Building","10 Whitechapel High Street",London,"E1 8QS",England,,,,,,05/06/2018,05/12/2018,27/04/2018,NO,,Yes,No,No,Services,39000,,01/06/2018,39000,"[THALES UK LIMITED|Green Park
READING
Berkshire
RG2 6GF
GB|COMPANIES_HOUSE|00868273|No|No]","Anne Francis",05/06/2018,05/12/2018,"CallOffFromFrameworkAgreement ",
LSBU15/0075,Contract,"MINISTRY OF DEFENCE",Awarded,2015-07-23T09:37:52Z,"Supply of Light Protected Personnel Vehicle (LPPV) Spares","Following competition the Authority has placed a three year Framework Agreement with the potential for a further one option year, for the supply of spares in support of the Light Protected Personnel Vehicles (LPPV) including, but not limited to, the following: Husky, Jackal, Coyote, Warthog, Foxhound and CW4X4.  The Authority reserves the right to add other Articles of a similar nature.  The documents uploaded have been redacted where the information is considered to be commercially sensitive and where publication would ""prejudice” commercial interests – this applies to Annex A.",,,"West Midlands","35420000 ",,reg.barnes@dsg.mod.uk,"Babcock DSG, Building B15","MOD Donnington",Telford,"TF2 8JT",England,,,"20150701_Contract documents relating to LSBU15-0075.pdf 20150701_Transparency_Annex C actual procurement timescales_LSBU15-0075.doc 20150701-Annex A to LSBU15-0075.xls ",,,01/07/2015,30/06/2018,18/03/2015,NO,,Yes,No,No,Products,3571000,,01/07/2015,3571000,"[Thales UK Limited|2 Dashwood Lang Road, The Bourne Business Park, Addlestone, Weybridge, Surrey, KT15 2NX|||No|No]",,01/07/2015,30/06/2018,"Restricted ",
