"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP388079104,Contract,"Student Loans Company",Awarded,2019-04-03T09:24:01Z,"GB-Glasgow: Open Text - Renewal & DSE","Open Text Software Renewal for Captiva, Documentum, and Brava. DSE for Captiva and Documentum",,,Scotland,"72261000 ","Martin Woods",Martin_woods@slc.co.uk,"100 Bothwell Street",,Glasgow,"G2 7JD",UK,01413062109,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=388079104 ",,01/04/2019,31/03/2020,31/03/2019,NO,,No,No,No,Services,542123,,31/03/2019,542123.35,"[Open Text UK Limited|420 Thames Valley Park Drive
        Thames Valley Park
        Reading
        RG6 1PT|NONE||No|No]","Janna Hagen",01/04/2019,31/03/2020,"NotSpecified ",
"FSCS SS 080",Contract,"FINANCIAL SERVICES COMPENSATION SCHEME LIMITED",Awarded,2020-09-28T11:26:03Z,"Open Text Support and Maintenance","This is for the annual Support and Maintenance renewal which is required to retain upgrade rights and to get support on the product.",,,"United Kingdom","48000000 ",,Procurement@fscs.org.uk,"10th Floor Beaufort House","15 St Botolph Street",LONDON,"EC3A 7QU",England,"0207 375 8194",,,,,01/10/2020,30/09/2021,15/09/2020,NO,,Yes,Yes,No,Services,67158,,15/09/2020,67158,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|No|No]",,01/10/2020,30/09/2021,"SingleTenderActionNonOJEU ",,00:00
BIP487377203,Contract,"Student Loans Company",Awarded,2020-04-09T17:10:02Z,"GB-Glasgow: Inbound Correspondence Software Renewal","Provision of Software Support for Inbound Correspondence Software Stack by Open Text for 12 months",,,Scotland,"72261000 ","Martin Woods",martin_woods@slc.co.uk,"100 Bothwell Street",,Glasgow,"G2 7JD",UK,01413062109,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=487377203 ",,01/04/2020,31/03/2021,18/03/2020,NO,,No,No,No,Services,478380,,18/03/2020,478380.17,"[Open Text UK Limited|420 Thames Valley Park Drive
        Thames Valley Park
        Berks
        Reading
        RG6 1PT|NONE||No|No]","Cristian Gheorghe",01/04/2020,31/03/2021,"NotSpecified ",
SSADDaT19075,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-05-30T11:49:58Z,"UK SBS SSADDaT19075 OpenText Software Maintenance and Support","***PLEASE NOTE THIS IS AN AWARD NOTICE, NOT A CALL FOR COMPETITION***

UK Research and Innovation - STFC had a requirement for the renewal of OpenText Content Server Maintenance and Support.",,,"Any region","48000000 ","Nikolaos Filippis",Nikolaos.Filippis@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,01793425066,,,,,01/06/2019,31/05/2020,28/05/2019,NO,,Yes,No,No,Services,26849.5,,30/05/2019,26849.5,"[Open Text UK Limited|420 Thames Valley Park Drive, Thames Valley Park, Reading, Berkshire, England, RG6 1PT|COMPANIES_HOUSE|03148093|No|No]",,01/06/2019,31/05/2020,"SingleTenderActionNonOJEU ",
DDaT19104,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-04-09T11:01:41Z,"UK SBS DDaT19104 Website data delivery service","UK Research and Innovation (UKRI) have purchased a website delivery service for the Secure Project.

UKRI have purchase these following a 3 quote exercise in alignment with UKRI Procurement Policy.",,,"Any region","72315100 72320000 ","Ben Oborne",DDaTprocurement@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,"01793 867005",www.uksbs.co.uk,,,,26/03/2019,26/09/2019,25/03/2019,NO,,Yes,Yes,No,Services,29754.27,,25/03/2019,29754.27,"[Open Text UK Ltd|420 Thames Valley Park Drive
Thames Valley Park
Reading
Berkshire
RG6 1PT|COMPANIES_HOUSE|03148093|No|No]",,26/03/2019,26/09/2019,"CompetitiveQuotationNonOJEU ",
"700033295 (DInfoCom/0100)",Contract,"MINISTRY OF DEFENCE",Awarded,2020-02-14T08:47:09Z,"Provision of APC Redaction Tool","1.	The current approach to meeting legislative demands on disclosures is inefficient resulting in a need to improve processes that enable delivery of Subject Access Requests (SAR) making them compliant with mandated timelines for response. Redaction of documents in hard(paper) and electronic copy is very manpower intensive which adds significant delay to meeting the deadlines. Reducing the time to conduct redaction is viewed as the priority action that can deliver greatest improvement to the SAR process.  Failure to meet their legislative timelines could result in serious reputational damage and significant financial penalties for non-compliance with DPA18. APC Glasgow is currently failing to meet the legislative timelines and the Army and/or MOD could face Information Commission Office (ICO) penalties and special measures.",,,Scotland,"72000000 ","Nigel Rummey",nigel.rummey399@mod.gov.uk,"Army Headquarters","Monxton Road",ANDOVER,"SP11 8HJ",England,"01264 887545",,,,,06/01/2020,29/02/2020,29/11/2019,NO,,Yes,No,No,Services,27427.5,,09/12/2019,27427.5,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|Yes|No]","Katy Atkinson",06/01/2020,29/02/2020,"CallOffFromFrameworkAgreement ",
ITPD0161,Contract,"Department For Transport",Awarded,2019-06-14T09:25:49Z,"OpenText licences for SHARE support and maintenance","Software & information systems (incl. licenses)",,,"Any region","71311210 ","Transparency SGRM",TransparencySGRM@highwaysengland.co.uk,"Highways England",,Guildford,"GU1 4GA",England,,,"Software_Support_Terms_-_EMEA_Highways England.pdf ","https://www.econtrack.com/Project/View.aspx?data=fdHofPpupBQbkFa3wke2kw%3d%3d ",,30/11/2018,31/03/2020,29/11/2018,NO,,Yes,No,No,Services,656062.19,656062.19,29/11/2018,656062.19,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|No|No]",,30/11/2018,31/03/2020,"SingleTenderActionNonOJEU ",
0212,Contract,"BIRMINGHAM CHILDRENS HOSPITAL",Awarded,2019-02-19T14:39:13Z,"Clinical Genetics Support","Legacy Support",,,"West Midlands","85000000 ","Rachel Fanthom",rachel.fanthom@bch.nhs.uk,"STEELHOUSE LANE",,BIRMINGHAM,B46NH,England,"0121 333 8885",,,,,15/11/2018,31/03/2019,08/10/2018,NO,,No,No,No,Services,0,,10/10/2018,45000,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|No|No]","Katy Atkinson",15/11/2018,31/03/2019,"SingleTenderActionNonOJEU ",
project_4408/ecm_5678,Contract,"MEDICINES and HEALTHCARE PRODUCTS REGULATORY AGENCY",Awarded,2019-01-25T12:26:03Z,"Document Management Software - Documentum","Document Management Software - Documentum",,,London,"48000000 ",Procurement,purchasing@nibsc.org,"10 South Colonnade","Canary Wharf",London,"E14 4PU",England,,,,,,01/06/2017,31/05/2021,31/05/2017,NO,,Yes,No,No,Products,400000,,31/05/2017,400000,"[Open Text UK|Open Text UK Ltd.
420 Thames Valley Park Drive
Thames Valley Park
Reading
Berkshire
RG6 1PT|NONE||No|No]",,01/06/2017,31/05/2021,"CallOffFromFrameworkAgreement ",
"GLD 28 2018",Contract,"GOVERNMENT LEGAL DEPARTMENT",Awarded,2018-11-06T15:01:59Z,"GLD In-house eDisclosure Platform Trial","Trial of in-house eDisclosure platform for GLD",,,London,"73430000 79100000 ","Florence Fenton",Florence.Fenton@justice.gov.uk,"1 Kemble Street",,LONDON,WC2B4TS,England,,,,,,10/08/2018,06/02/2019,01/08/2018,NO,,Yes,No,No,Services,50000,,01/08/2018,50000,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|No|No]",,10/08/2018,06/02/2019,"SingleTenderActionNonOJEU ",
