"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
tender_229358/856447,Contract,"Department of Health and Social Care",Awarded,2020-05-19T11:36:02Z,"DHSC - NHSX and NHSE/I joint CYPMH Digital Project - Contract with FutureGov Ltd","Contract Award Notice following award of three month contract for DHSC - NHSX and NHSE/I joint CYPMH Digital Project to FutureGov Ltd",,"SW1H 0EU","Any region","72000000 ","Mr Sachin Joshi",sachin.joshi@dhsc.gov.uk,"Department of Health and Social Care, 39 Victoria Street, Westminster",,London,"SW1H 0EU",England,,,"NHSX_FutureGov_CYPMHProject2_Contract_Redacted.pdf ",,,01/02/2020,30/04/2020,28/01/2020,NO,,Yes,No,No,Services,107415,,28/01/2020,107415,"[FutureGov Limited|Runway East (2nd Floor), 20 St Thomas Street, London, SE1 9RS|COMPANIES_HOUSE|6472420|No|No]",,01/02/2020,30/04/2020,"CallOffFromFrameworkAgreement ",
DS02-003,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-11-30T14:40:56Z,"DSTL News Event Alerting Service","PLEASE NOTE - THIS IS FOR TRANSPARENCY PURPOSES ONLY, ONLY CAPABLE SUPPLIERS UNDER THE DIGITAL SERVICES FRAMEWORK WILL BE INVITED TO BID.",,,London,"72000000 ","Digital Services Managed Service Team",cloud-and-services@crowncommercial.gov.uk,"Rosebery Court, Central Avenue, St Andrews Business Park",,Norwich,"NR7 0HS",England,"0845 410 2222",https://www.gov.uk/government/organisations/crown-commercial-service,"DS02-003 Call-Off Contract Futuregov (Fully Signed & Redacted).pdf DS02-003 APPENDIX A - AWARD QUESTIONNAIRE Final Updated 090915.docx DS02-003 Call-Off Contract Purple Secure (Fully Signed & Redacted) v2.pdf DS02-003_CUSTOMER REQUIREMENTS Final Revised 010915_Redacted.pdf ",,,28/10/2015,26/10/2017,15/09/2015,NO,,Yes,No,No,NotApplicable,0,,20/10/2015,0,"[FutureGov Ltd and Purple Secure Systems Ltd|FutureGov, Central Point, 45 Beech Street, London, EC2Y 8AD
Purple Secure Systems Ltd, Citypoint, Temples Gate, Bristol, BS1 6PL|||No|No]",,28/10/2015,26/10/2017,"NotApplicable ",
LGSS001-DN484776-14758413,Contract,LGSS,Awarded,2020-10-27T16:31:21Z,"A PARTNERSHIP APPROACH TO DESIGNING AND BUILDING NEW WEBSITES FOR TWO NEW UNITARY AUTHORITIES- Future Northants","A Partnership Approach to Designing and Building New Websites for Two New Unitary Authorities this contract is awarded through Daventry District Council.

The creation of the West and North Northamptonshire Unitary Authorities on 1st April 2021 is an important opportunity to transform services for residents and the new Authorities. A key part of this transformation will be designing our online digital experiences fit for the 'digital' age ahead. 
The new Authorities websites will be the front face of the changes. They present both a challenge and an opportunity to redesign our services solving customer problems efficiently and effectively via enabling self-service where possible. 
Our approach will emphasise designing for user needs, agile development and collaborative working to benefit from the skills and experience of our colleagues across the public sector.
",,,"United Kingdom","72000000 ","Deborah Osinaike",dosinaike@northamptonshire.gov.uk,"One Angel Square","Angel Street",Northampton,"NN1 1ED",England,,https://www.lgss.co.uk/about/,,,,02/11/2020,30/04/2023,17/08/2020,NO,,Yes,No,No,Services,1000000,1000000,02/10/2020,648270,"[FUTUREGOV.LTD|20 St Thomas Street, Runway East (Second Floor), London, United Kingdom, SE1 9RG|NONE||Yes|No]",,02/11/2020,30/04/2023,"Restricted ",,12:00
CPD4121081,Contract,"MINISTRY OF HOUSING, COMMUNITIES & LOCAL GOVERNMENT",Awarded,2020-10-27T12:56:05Z,"Oxford-Cambridge Arc Data Observatory (Joint Digital Evidence Base) Discovery","Local planning authorities produce large amounts of evidence base documents. This tends not to be published in a standardised or machine-readable format, making it hard to find, use and share. To support the spatial framework, this Discovery will seek out the opportunities in creating a shared digital evidence base.",,,England,"72222300 ",,commercial@communities.gov.uk,"Fry Building","2 Marsham Street",London,"SW1P 4DF",England,,,"DOS-4-call-off-contract (OxCam).pdf ",,"Call-off from the Crown Commercial Service Digital Outcomes & Specialists framework.",26/10/2020,18/12/2020,14/08/2020,NO,,Yes,Yes,No,Services,63750,,06/10/2020,63750,"[FUTUREGOV. LTD|20 St. Thomas Street
LONDON
SE1 9RS
GB|COMPANIES_HOUSE|06472420|No|No]",,26/10/2020,18/12/2020,"CallOffFromFrameworkAgreement ",,00:00
NHSBT1357,Contract,"Blood Services South West",Awarded,2020-10-09T09:09:20Z,"IT Design Services","***Awarded contract*** Service and user centred design strategic partner - to be utilised to increase capacity of the IT Design team to drive a change in culture.",,,England,"72000000 ","Rachael Carpenter",rachael.carpenter@nhsbt.nhs.uk,"500-600 North Bristol Park,Northway, Filton",,BRISTOL,BS347QH,England,01179217245,,,,,08/06/2020,07/06/2022,11/05/2020,NO,,Yes,No,No,Services,500000,,21/05/2020,500000,"[FutureGov Ltd|Runway East (2nd Floor)
20 St Thomas Street
London
SE1 9RG|COMPANIES_HOUSE|06472420|Yes|No]",,08/06/2020,07/06/2022,"CallOffFromFrameworkAgreement ",,12:00
UID:8664,Contract,"STAR Procurement",Awarded,2020-10-06T16:13:28Z,"Mobilising Trafford Digital Services","This is a short term contract which will be executed over a 14 week period.  It will support the Trafford Digital Service Team in the Council's Modernisation Programme. 

The was a direct award via the G-Cloud platform.",,"M32 0TH",,"72000000 ","Samantha Power",samantha.power@star-procurement.gov.uk,"1FE Trafford Town Hall",,MANCHESTER,M320TH,England,"07773 216483",,,,,14/09/2020,21/01/2021,07/09/2020,NO,,Yes,No,No,Services,106000,,07/09/2020,106000,"[FUTUREGOV. LTD|20 St. Thomas Street
LONDON
SE1 9RS
GB|COMPANIES_HOUSE|06472420|Yes|No]",,14/09/2020,21/01/2021,"CallOffFromFrameworkAgreement ",,12:00
CF-0005100D1t000000oonVEAQ1,Contract,"HM Land Registry",Awarded,2020-08-24T14:26:57Z,"HMLR - User-centred Design and Research Capability Partner","This contract has now been awarded following completion of a competitive tendering exercise through the Crown Commercial Services Digital Outcome and Specialist Framework (RM1043.6)\r
A partnership contract with specialist experience in user-centred design to help build knowledge and capability within the organisation and to help us put users at the heart of our land and property registration services.",,"PL5 9BY","South West","72000000 ","Mariclare Richards",mariclare.richards@landregistry.gov.uk,"HM Land Registry  PO BOX 292",,PLYMOUTH,"PL5 9BY",GB,"0300 64208",,,,,10/08/2020,09/08/2022,22/06/2020,NO,,Yes,No,No,Services,50000,3200000,15/07/2020,3200000,"[FUTUREGOV.LTD|20 St Thomas St - 2nd Floor, Runway East, London, SE1 9RS|NONE||No|No]","Website Contact",10/08/2020,09/08/2022,"CallOffFromFrameworkAgreement ",,00:00
"COV - 9211 - AWARD",Contract,"Coventry - Solihull - Warwickshire",Awarded,2020-08-13T18:09:47Z,"COV - One Coventry User Led Service Design Consultancy - AWARD","User Led Service Design is one of the fundamental principles of Government Digital Services (GDS) and the Local Digital Declaration (of which Coventry City Council is a signatory).  As part of the Digital First Programme the Design workstream focuses on adopting a user led service design approach to reviewing our services and identifying and delivering opportunities for improved customer outcomes and efficiencies.  
      
      Coventry Council is seeking to award a contract to a supplier who will work in a partnership approach to develop and deliver a user centred design solution  for the Council. Further details can be found in the tender documentation. 
      
      The value of the initial contract (6 months) will be a maximum value of £100k exc VAT.",,"CV1 2GN","West Midlands","79400000 79415200 ","Michael Duffy",michael.duffy@coventry.gov.uk,Coventry,Coventry,Coventry,"CV1 2GN","United Kingdom","024 7697 1414",,,,,07/09/2020,06/03/2021,24/07/2020,NO,,Yes,No,No,Services,0,170000,05/08/2020,170000,"[FutureGov Ltd|Runway East (Second Floor)  20 St Thomas Street, United Kingdom, SE1 9RG|NONE||No|No]","Anna Inman",07/09/2020,06/03/2021,"Open ",,12:00
HACK001-DN492141-41637955,Contract,"London Borough of Hackney",Awarded,2020-08-10T14:20:15Z,"Coronavirus Front Door","Repurposing the digital tools created through the Benefits and Housing Needs transformation project for use in the Coronavirus front door - phase two.",,,London,"72000000 ","LBH eProcurement Team",eprocurement@hackney.gov.uk,"Hackney Service Centre","1 Hillman Street",Hackney,"E8 1DY","United Kingdom","+44 2083563000",http://www.hackney.gov.uk,,,,07/07/2020,18/09/2020,03/07/2020,NO,,No,No,No,Services,89250,89250,06/07/2020,89250,"[FutureGov.Ltd|201 The Wenlock, 50 52 Whaft Road, London N1 7EU|NONE||No|No]",,07/07/2020,18/09/2020,"DirectAward ",,23:59
"UID 4433",Contract,"STAR Procurement",Awarded,2020-01-22T15:37:49Z,"Going Beyond Digital","To assist with the digital transformation across Stockport Metropolitan Borough Council.",,,"North West","72220000 ","Natalie McCarthy",natalie.mccarthy@star-procurement.gov.uk,"1FE Trafford Town Hall",,MANCHESTER,M320TH,England,01619121616,,,,,01/01/2019,01/07/2019,21/12/2018,NO,,Yes,No,No,Services,249999,,31/12/2018,249990,"[FUTUREGOV. LTD|20 St. Thomas Street
LONDON
SE1 9RS
GB|COMPANIES_HOUSE|06472420|Yes|No]",,01/01/2019,01/07/2019,"CallOffFromFrameworkAgreement ",
