"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BRISTOLCC001-DN331034-25592266,Contract,"Bristol City Council",Awarded,2018-03-22T14:47:39Z,"10 Reality Subscription Licences and Support  with Northgate Public Services (UK) Limited","10 Reality Subscription Licences and Support  with Northgate Public Services (UK) Limited",,,"South West","48000000 ","Tim Farrance",tim.farrance@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","+44 1173526888",https://www.bristol.gov.uk/,,,,01/04/2018,31/03/2019,21/03/2018,NO,,Yes,Yes,No,Products,5322,5322,22/03/2018,5322.22,"[NORTHGATE PUBLIC SERVICES (UK) LIMITED|HP2 4NW|NONE||No|No]","Northgate Public Services MAIN ACCOUNT",01/04/2018,31/03/2019,"Open ",
TH/Northgate,Contract,"Winchester City Council",Awarded,2019-09-25T10:58:02Z,"Northgate Public Services Software, Support & Maintenance for Revenues & Benefits","A Crown Commercial Services Framework Contract (ref RM3821, service definition 1092) for the provision of software to assist:
 - the collection & recording of data for the billing & collection of Council Tax & Business Rates
 - the administration of payment methods, discounts, reliefs, reductions, exemptions, contact details,
   and changes in circumstances
 - the delivery of Council Tax, Business Rates, Housing Benefit & Council Tax Support account
   information to residents

Plus the support & maintenance of that software, the continuation of perpetual licences and the provision of professional / consultancy services.",,"so23 9lj",,"48000000 ","Terri Horner",thorner@winchester.gov.uk,"City Offices","Colebrook Street",Winchester,"SO23 9LJ",England,"01962 840222",,,,,01/10/2019,30/09/2024,22/08/2019,NO,,No,No,No,Services,250000,255000,23/08/2019,250000,"[NORTHGATE PUBLIC SERVICES (UK) LIMITED|2 Peoplebuilding Estate Maylands Avenue
BS32 4UE
GB|COMPANIES_HOUSE|00968498|No|No]","Public Services Bid Management",01/10/2019,30/09/2024,"CallOffFromFrameworkAgreement ",
CCD00249,Contract,"Stevenage Borough Council - Department Of Community Services",Awarded,2016-05-27T11:22:27Z,"Northgate Housing Application Suite – Maintenance and Support","AWARD: Stevenage Borough Council (‘the Council’) has awarded a contract with Northgate Public Services UK Limited(‘Northgate’) for an extension to its existing maintenance and support agreement for a period of 5 years from the1.4.2016 to 31.3.2021.
The Council currently owns a licence in perpetuity to use modules from Northgate's Housing Application Suiteand utilises this software to support delivery of its Housing function. These software programs are developed,maintained and supported exclusively by Northgate and the Council has adjudged that it cannot reasonablycontinue to use the software programs without a current maintenance and support agreement.",,,"East of England","72260000 ","Paul Tyler",paul.tyler@stevenage.gov.uk,"Daneshill House",Danestrete,Stevenage,"SG1 1HN",England,,,,,,01/04/2016,31/03/2021,31/03/2016,NO,,No,No,No,Services,263449.5,,31/03/2016,263449.5,"[Northgate Public Services (UK) Limited|Alderley Edge
SK9 7RR|||No|No]",,01/04/2016,31/03/2021," ",
PPRO04/091/049,Contract,"DEPARTMENT FOR TRANSPORT",Awarded,2017-04-21T09:30:58Z,"Northgate data for National speed awareness course evaluation","The purpose of the research is to conduct an impact evaluation of the NDORS National Speed Awareness Course (NSAC) scheme. Northgate Public Services (NPS) - as the provider to the Home Office - of the national PentiP System, is providing a data extract to DVLA, who will process the data further, before passing the final extract to Ipsos MORI.",,,"Any region","73000000 ",,dftprocurement@dft.gsi.gov.uk,"Great Minster House","33 Horseferry House",London,"SW1P 4DR",England,,,"Award letter contracts finder redacted_Redacted.pdf ",,,13/04/2017,12/06/2017,12/04/2017,NO,,No,No,No,Services,27000,,12/04/2017,27000,"[Northgate Public Services (UK) Ltd|People Building 2
Maylands Avenue
Hemel Hempstead
HP2 4NW|||No|No]",,13/04/2017,12/06/2017,"DirectAward ",
LEEDSCITY001-DN396865-53732488,Contract,"Leeds City Council",Awarded,2019-03-20T11:56:31Z,"ITS180023: ICLipse Support & Maintenance Services","Award of a contract to Northgate Public Services (UK) Ltd for Support and Maintenance of ICLipse EDRMS forthe period 1st April 2019 to 31st March 2020.
Contract awarded using the Negotiated Procedure without publication of a notice under Regulation 32 (2) (b) (ii)of the Public Contracts Regulations 2015.",,,"Yorkshire and the Humber","48100000 ",,its.procurement@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133784357",http://www.leeds.gov.uk,,,,01/04/2019,31/03/2020,01/03/2019,NO,,No,No,No,Services,76000,76000,20/03/2019,75886.43,"[Northgate Public Services (UK) Ltd|Queen's Court
Wilmslow Road 
Alderley Edge
Cheshire 
SK9 7RR|NONE||No|No]",,01/04/2019,31/03/2020,"NegotiatedWithoutCompetition ",
tender_191676/748783,Contract,"Public Health England",Awarded,2019-03-13T13:03:15Z,"PHE - Screening - AAA Screening Services","A contract has been awarded to Northgate Public Services (UK) Limited for an ongoing requirement for the provision of a platform for the Abdominal Aortic Aneurysm screening program for a screening management and reporting service.",,,"Any region","48000000 ","Dr Anne Mackie",anne.mackie@phe.gov.uk,"Wellington House, 133-155 Waterloo Road",,London,"SE1 8UG",England,,,,,,01/04/2019,31/03/2021,15/02/2019,NO,,No,No,No,Services,1176000,,15/02/2019,1176000,"[Northgate Public Services (UK) Limited (NPS)|Peoplebuilding 2, Peoplebuilding Estate, Maylands Avenue, Hemel Hempstead, Herts. HP24NW|COMPANIES_HOUSE|00968498|No|No]","Alan Campbell",01/04/2019,31/03/2021,"CallOffFromFrameworkAgreement ",
MRTN001-DN315394-55127127,Contract,"London Borough of Merton",Awarded,2018-04-30T14:44:01Z,"Technology 2 Services (RM3804 Call Off)","The Council currently uses M3 PP and L&P (provided by Northgate Public Services) to support its Planning (Development & Building Control), Environmental Health including Housing, Trading Standards, Licensing, Local Land Charges business operations and integrated with the Exacom Community Infrastructure (CIL) Levy solution.",,,London,"72222300 72267100 ","Amy Gibson",amy.gibson@merton.gov.uk,"Civic Centre","London Rd",Morden,"SM4 5DX",England,"+44 2085454623",http://www.merton.gov.uk/,,,,01/05/2018,30/04/2023,24/01/2018,NO,,No,No,No,Services,325000,,30/04/2018,325000,"[NORTHGATE PUBLIC SERVICES (UK) LIMITED|Peoplebuidling 2, Peoplebuilding Estate, Maylands Avenue, Hemel Hempstead, Hertfordshire, HP2 4NW|NONE||No|No]",,01/05/2018,30/04/2023,"Other ",
"HCC1608836 - AWARD",Contract,"any of the projects listed on the portal",Awarded,2017-01-17T09:09:29Z,"HCC 06/16 -  Provision of Council Tax Discount and Exemptions Reviews - AWARD","Hertfordshire County Council has undertaken a procurement process for the provision of Council Tax Discount and Exemptions Reviews Contract notice 2016/S 136-246276 Award notice 2017/S 011-016918.
      Estimated value excluding VAT:
      Range: between 477 500 and 525 000 GBP
      Please see below information in relation to each awarded Lot:
      Lot 1 Council Tax Single Person Discount Review
      Datatank Ltd
      Gothic House
      Barker Gate
      Nottingham
      NG1 1JU
      Liberata UK Limited
      trading as CapacityGrid
      First Floor 100 Wood Street
      London
      EC2V 7AN
      Lot 2 Empty Homes Review
      Northgate Public Services (UK) Limited
      Peoplebuilding 2
      Peoplebuilding Estate
      Maylands Avenue
      Hemel Hempstead
      Hertfordshire
      HP2 4NW 
      Liberata UK Limited
      trading as CapacityGrid
      First Floor 100 Wood Street
      London
      EC2V 7AN
      Lot 3 Student Exemptions Review
      Liberata UK Limited
      trading as CapacityGrid
      First Floor 100 Wood Street
      London
      EC2V 7AN
      Lot 4 Council Tax Reduction Scheme Review
      Liberata UK Limited
      trading as CapacityGrid
      First Floor 100 Wood Street
      London
      EC2V 7AN",,"SG13 8DE","Any region","72322000 66000000 72000000 48000000 ","Juliet  Cameron (HCC)",juliet.cameron@hertfordshire.gov.uk,"Pegs Lane",Hertford,Hertfordshire,"SG13 8DE","United Kingdom","01707 292356",,,,,01/11/2016,31/10/2018,12/08/2016,NO,,No,No,No,Services,0,,21/09/2016,0,"[Datatank Ltd|Gothic House, Barker Gate, Nottingham, United Kingdom, NG1 1JU|||No|No][Liberata UK Limited|1st Floor, 100 Wood Street, London, United Kingdom, EC2V 7AN|||No|No][Northgate Public Services (UK) Limited|Peoplebuilding 2, Peoplebuilding Estate, Hemel Hempstead, Hertfordshire, United Kingdom, HP2 4NW|||No|No]","Peter Cogger",01/11/2016,31/10/2018,"Open ",
359,Contract,"Uttlesford District Council",Awarded,2018-11-07T17:35:48Z,"Document Imaging Software","Replacement of de-supported Northgate ""Iclipse"" software with ""Information@Work"". System integrates with the existing Northgate system owned by the Council and operated under a perpetual licence.  ""Information@Work"" replaces software that is being de-supported before the end of the current maintenance term.  ""Information@Work"" will be purchased outright with a perpetual licence to operate with support and hosting for a term of 50 months in the first instance and options to extend for as long as the software remains fit for purpose.  The renewal date of this software is aligned to that of the Northgate System allowing for strategic reviews at relevant intervals.",,"CB11 4ER",,"48311000 ","Cristine Oakey",coakey@uttlesford.gov.uk,"Council Offices",,"Saffron Walden",CB114ER,England,"01799 510451 ext 451",www.uttlesford.gov.uk,,,,01/12/2018,31/01/2023,07/11/2018,NO,,No,No,No,Services,232934,,30/10/2018,232934,"[NORTHGATE PUBLIC SERVICES (UK) LIMITED|2 Peoplebuilding Estate Maylands Avenue
WA2 0XD
GB|COMPANIES_HOUSE|00968498|No|No]",,01/12/2018,31/01/2023,"NegotiatedProcedureWithoutPriorPublicationOJEU ",
tender_178272/719685,Contract,"Public Health England",Awarded,2018-10-15T12:38:16Z,"PHE_Screening_NIPE - Change Control Note C17 -006 Payment Trigger changes for transition to Apollo platform and extension of initial extension period - ECM_6115","Public Health England, an executive agency of the Department of Health and Social and Social Care (DH) (hereafter referred to as ""Public Health England"" or ""PHE"" also referred to as the ""Contracting Authority"" or the ""Authority"" or the ""Employer"") have Direct awarded Northgate via negotiated procedure the development licence for the custom software of the new Apollo Platform (formerly S4H platform) for the screening of the National Infant Physical Examination (NIPE) Screening programme.",,"SE1 8UG","Any region","48000000 85121200 ",,tenders@phe.gov.uk,"Public Health England of Wellington House, 133-135 Waterloo Road",,LONDON,"SE1 8UG",England,,,,"https://phe.bravosolution.co.uk/web/login.shtml ",,24/04/2018,31/03/2019,31/03/2018,NO,,No,No,No,Services,300000,,24/04/2018,300000,"[Northgate Public Services Limited|Northgate Public Services Limited, Peoplebuilding Estate, Maylands Ave, Hemel Hempstead HP2 4NW|NONE||No|No]",,24/04/2018,31/03/2019,"NegotiatedProcedureWithoutPriorPublicationOJEU ",
