Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1051322,2015-07-01,14169.30,WHEELDON BROTHERS WASTE LIMITED,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1051323,2015-07-01,28500.00,EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1051324,2015-07-01,32050.00,CREST ENVIRONMENTAL,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1051332,2015-07-01,8200.00,MEASURE 2 IMPROVE,ASSET MANAGEMENT PLANS & SURVEYS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1051343,2015-07-01,163443.44,CARIBOU GREEN WARMTH LLP,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1004795,2015-07-01,17250.00,NORTHGATE PUBLIC SERVICES (UK) LTD,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1004796,2015-07-01,11113.00,STHREE PARTNERSHIP LLP,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1051385,2015-07-02,16794.20,WHEELDON BROTHERS WASTE LIMITED,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1051387,2015-07-02,27987.66,VBA JOINT VENTURE LTD,NEW CONSTRUCTION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1017453,2015-07-02,5143.50,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1017454,2015-07-02,45374.61,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1017456,2015-07-02,12995.75,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1004809,2015-07-02,45653.00,XEROX UK LTD,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1004816,2015-07-02,7435.00,GROUNDWORK LANDSCAPES LIMITED,IMPROVEMENTS-MODERNISATION,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1018937,2015-07-02,27000.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,VOLUNTARY ASSOCIATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1018938,2015-07-02,7750.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,VOLUNTARY ASSOCIATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1018950,2015-07-02,14337.00,MANCHESTER WORKING LIMITED,MAINTENANCE STAIRLIFTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1051390,2015-07-03,6749.09,WINTON FLOORING LIMITED,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1051416,2015-07-03,7484.00,PATROL,AGENCY,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1018953,2015-07-03,5470.00,STANNAH LIFT SERVICES LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1018955,2015-07-03,5850.00,HOIST AND SHOWER CHAIR CO LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,q1004832,2015-07-06,75000.00,GATENBY SANDERSON,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1004839,2015-07-06,21983.44,CIVICA UK LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1004840,2015-07-06,15200.00,SENITOR RECRUITMENT,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1004841,2015-07-06,10000.00,ROCHDALE CONNECTIONS TRUST (TRADING) LT,PUBLICITY,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1051452,2015-07-07,22691.72,BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1051459,2015-07-07,15097.50,JMHA,PROPERTY REFURBISHMENT (HOUSING),ECONOMY AND ENVIRONMENT
