Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,s1023890,2019-01-02,9670.99,POLLOCK LIFTS,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1023892,2019-01-02,8490.93,CAREWATCH CARE SERVICES LTD,HOME CARE - ADULT SERVICES,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1023891,2019-01-02,5520.00,STOCKPORT NHS FOUNDATION TRUST,SOCIAL SERVICES OTHER,COMMISSIONING AND STATUTORY
Rochdale Borough Council,d2000938,2019-01-03,37463.08,SPECIALIST COMPUTER CENTRES PLC,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000930,2019-01-03,22605.00,CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103290,2019-01-03,17133.13,SAFENET DOMESTIC ABUSE SERVICE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1023897,2019-01-03,8410.00,THE PENNINE ACUTE HOSPITALS NHS TRUST,SERVICE LEVEL AGREEMENTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1023893,2019-01-03,7682.96,FUTURE DIRECTIONS CIC,INDIVIDUAL SERVICE FUND,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1023895,2019-01-03,7434.19,FUTURE DIRECTIONS CIC,INDIVIDUAL SERVICE FUND,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1023894,2019-01-03,7345.12,FUTURE DIRECTIONS CIC,INDIVIDUAL SERVICE FUND,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1016831,2019-01-03,6220.50,GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1027189,2019-01-04,418565.98,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1027190,2019-01-04,220755.82,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1027185,2019-01-04,50000.00,BROADSTONES  SCHOOL LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1027187,2019-01-04,50000.00,BRIGHT FUTURES SCHOOL LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1023900,2019-01-04,25750.00,THE STROKE ASSOCIATION,VOLUNTARY ASSOCIATIONS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d2000941,2019-01-04,23625.00,GRAVITAS RECRUITMENT GROUP,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000942,2019-01-04,23625.00,GRAVITAS RECRUITMENT GROUP,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1027188,2019-01-04,20000.00,TUTOR DOCTOR BURY,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3001124,2019-01-04,14250.00,BLOOM PROCUREMENT SERVICES LTD,CONSULTANTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph103293,2019-01-04,13135.00,THE CENTRE FOR PUBLIC INNOVATION,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,e1027186,2019-01-04,9000.00,AA PROJECTS LTD,CONSULTANTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1080403,2019-01-07,136748.56,FORD MOTOR COMPANY LTD,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1001986,2019-01-07,24583.44,BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY DIRECTORATE
Rochdale Borough Council,ph103296,2019-01-07,9212.50,RIS PRODUCTS LTD,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d1080385,2019-01-07,6930.00,ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d4001231,2019-01-07,6639.20,FOREST FUELS LTD,REPAIRS & ALTS OF BUILDINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1023919,2019-01-07,6228.00,STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1023911,2019-01-07,6104.00,STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1016836,2019-01-07,6000.00,RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1023915,2019-01-07,5900.00,STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1023907,2019-01-07,5593.74,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1023909,2019-01-07,5080.42,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1016848,2019-01-08,29700.00,DIAGRAMA FOUNDATION,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1016847,2019-01-08,18000.00,EAST SUSSEX COUNTY COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,s1023925,2019-01-08,82627.07,ROSS CARE,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,ph103305,2019-01-08,23597.55,BIG LIFE CENTRES,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d3001136,2019-01-08,10000.00,REACH PUBLISHING SERVICES LTD,ADVERTISING,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1023926,2019-01-08,9240.00,CHERISH UK LTD,HOME CARE - ADULT SERVICES,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1023928,2019-01-08,8943.33,POSSABILITIES CIC TRADING,INDIVIDUAL SERVICE FUND,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2000945,2019-01-08,6160.00,DATA SPACE LTD,DATA COLLECTION,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d2000948,2019-01-08,5898.00,DATA SPACE LTD,DATA COLLECTION,RESOURCES
Rochdale Borough Council,x1016844,2019-01-08,5188.91,ROSS CARE,EQUIPMENT - GENERAL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2000952,2019-01-09,103846.00,XMA LIMITED,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1027222,2019-01-09,47739.40,AXIOM EDUCATION ROCHDALE LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1023933,2019-01-09,26221.71,QUALIA CARE LTD,RESIDENTIAL LONG TERM,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,f1007404,2019-01-09,20065.00,GRANT THORNTON UK LLP,FEES / COMMISSION,RESOURCES
Rochdale Borough Council,s1023932,2019-01-09,11799.77,QUALIA CARE LTD,RESIDENTIAL LONG TERM,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1080463,2019-01-09,10500.00,EDGE HILL UNIVERSITY,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103308,2019-01-09,10127.15,ROCHDALE HOUSING INITIATIVE,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d1080432,2019-01-09,6750.00,BROXAP LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1023934,2019-01-09,5236.32,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1080475,2019-01-10,24565.00,STEPPING STONE PROJECTS,PROJECTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1080483,2019-01-10,24000.00,CLOVER SECURITY SERVICES LIMITED,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1080481,2019-01-10,20000.00,DICK WHITTINGTON GUEST HOUSE,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1080517,2019-01-10,14742.00,CHILDSCAPE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
