Organisation name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,SERVICE
Rochdale Borough Council,d1047175,2015-01-05,302000.00,COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015532,2015-01-05,9706.55,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015534,2015-01-05,7329.89,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015535,2015-01-05,17817.94,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015537,2015-01-05,9346.45,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015540,2015-01-05,29198.97,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015541,2015-01-05,310882.16,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100670,2015-01-05,6550.00,ROTHWELL PROMOTIONAL GIFTS LTD,PUBLICITY,PUBLIC HEALTH
Rochdale Borough Council,q1003310,2015-01-05,8947.93,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,CONTRACTED SERVICES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003311,2015-01-05,8673.65,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,CONTRACTED SERVICES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047232,2015-01-06,138262.20,RIVERSIDE TRUCK RENTAL,LONG TERM CONTRACTED EXTERNAL HIRE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047236,2015-01-06,5712.00,G AND A TAYLOR HOTELS LTD,ACCOMMODATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015550,2015-01-06,8433.39,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015552,2015-01-06,8041.00,BOLTON M B C,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015575,2015-01-06,376709.42,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
