Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d3002110,2019-07-01,"£14,726.00",TOMAX BUILDING SERVICES LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1083235,2019-07-01,"£10,000.00",NO GRAFFITI LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002112,2019-07-01,"£7,526.53",VODAFONE LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d2001543,2019-07-01,"£7,007.50",SYSOP LTD,TRAINING,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1017973,2019-07-01,"£6,953.79",ROSS CARE,EQUIPMENT - GENERAL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001545,2019-07-01,"£5,254.44",QA LTD,TRAINING,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1083258,2019-07-02,"£75,000.00",THE BOND BOARD LIMITED,PROJECTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024853,2019-07-02,"£61,719.94",ROSS CARE,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1024851,2019-07-02,"£36,722.33",N COMPASS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1024852,2019-07-02,"£36,722.33",N COMPASS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d3002118,2019-07-02,"£35,503.00",CROWTHER AND SHAW,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1028353,2019-07-02,"£17,400.00",BOLTON IMPACT TRUST,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028352,2019-07-02,"£9,502.00",BOLTON MBC,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1024854,2019-07-02,"£7,939.43",FUTURE DIRECTIONS CIC,SOCIAL SERVICES OTHER,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024855,2019-07-02,"£6,392.59",FUTURE DIRECTIONS CIC,SOCIAL SERVICES OTHER,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1083257,2019-07-02,"£6,141.25",STEPPING STONE PROJECTS,PROJECTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001554,2019-07-03,"£84,907.23",SPECIALIST COMPUTER CENTRES PLC,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002120,2019-07-03,"£55,248.00",COMPASS MINERALS UK LIMITED,MAINTENANCE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph103741,2019-07-03,"£10,800.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,x1017991,2019-07-03,"£7,200.00",NOMS AGENCY,SERVICE LEVEL AGREEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1083275,2019-07-03,"£6,237.00",ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d1083271,2019-07-03,"£6,086.25",JGM AGENCY,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024859,2019-07-03,"£5,755.26",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024861,2019-07-03,"£5,597.97",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
