Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,s1025225,2019-10-01,19156.80,K P DODD CONSTRUCTION LIMITED,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025225,2019-10-01,19156.80,K P DODD CONSTRUCTION LIMITED,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,e1028896,2019-10-01,12960.00,OLDHAM AMATEUR RUGBY LEAGUE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084465,2019-10-01,8675.00,ROSE PROJECT MANAGEMENT LTD,ARCHITECTS FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008349,2019-10-01,5000.00,REDACTED - PERSONAL DATA,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,s1025230,2019-10-02,488440.00,THE PENNINE ACUTE HOSPITALS NHS TRUST,INDEPENDENT UNITS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,e1028898,2019-10-02,426600.93,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008351,2019-10-02,84656.74,MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1008353,2019-10-02,67908.91,MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1008354,2019-10-02,67908.91,MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1008355,2019-10-02,67908.91,MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1008350,2019-10-02,62134.81,MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,d2001827,2019-10-02,18522.00,LIQUIDLOGIC LTD,IT MAINTENANCE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008352,2019-10-02,11509.52,MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,d3002565,2019-10-02,11348.52,C E S LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084477,2019-10-02,6237.00,ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d3002564,2019-10-02,5900.00,COMPLETE CONSTRUCTION,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002570,2019-10-03,1309992.54,BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1084493,2019-10-03,28024.14,ROCHDALE HOUSING INITIATIVE,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002573,2019-10-03,22158.73,J GREENWOOD (BUILDERS) LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1028903,2019-10-03,12960.00,RAISE THE YOUTH FOUNDATION CIC,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1025234,2019-10-03,10577.68,POLLOCK LIFTS,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,r1002256,2019-10-03,9128.11,B C REAL ESTATES LTD,PROFESSIONAL FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1084503,2019-10-03,7722.00,ROCHDALE BOROUGHWIDE HOUSING,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1018567,2019-10-03,6563.25,ROSS CARE,EQUIPMENT - GENERAL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph103922,2019-10-03,5279.82,ROCHDALE HOUSING INITIATIVE,EQUIPMENT - GENERAL,PUBLIC HEALTH
Rochdale Borough Council,ph103923,2019-10-03,5000.00,GMCA,ACTIVITIES,PUBLIC HEALTH
Rochdale Borough Council,d2001840,2019-10-04,52800.00,GRAVITAS RECRUITMENT GROUP,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084509,2019-10-04,31215.00,STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001841,2019-10-04,20160.00,GRAVITAS RECRUITMENT GROUP,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1028906,2019-10-04,11403.00,INSPIRE TRAINING AND EDUCATION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001843,2019-10-04,10049.52,PHOENIX SOFTWARE LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001838,2019-10-04,5895.00,OLDHAM COUNCIL,SUBSCRIPTIONS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008367,2019-10-07,711443.96,GMCA,AGMA,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001854,2019-10-07,586343.00,AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001853,2019-10-07,106224.00,XMA LIMITED,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1028910,2019-10-07,90289.65,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001848,2019-10-07,26880.00,GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084526,2019-10-07,25000.00,WHEELDON BROTHERS WASTE LIMITED,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103928,2019-10-07,17133.13,SAFENET DOMESTIC ABUSE SERVICE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1025240,2019-10-07,6217.76,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1084561,2019-10-08,9100.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084562,2019-10-08,6500.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084570,2019-10-08,6000.00,MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084567,2019-10-08,20000.00,247 HOTEL,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008372,2019-10-08,17042.00,CAPITA BUSINESS SERVICES LIMITED,BANK CHARGES,RESOURCES
Rochdale Borough Council,d1084550,2019-10-08,8432.16,DIRECT TYRE MANAGEMENT LTD,TYRES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084547,2019-10-08,5861.25,JGM AGENCY,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1028922,2019-10-09,33600.00,POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008375,2019-10-09,25253.00,BLOOM PROCUREMENT SERVICES LTD,AGENCY STAFF,RESOURCES
Rochdale Borough Council,ph103931,2019-10-09,21278.24,BIG LIFE CENTRES,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d2001866,2019-10-09,18356.96,PLURALSIGHT,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084575,2019-10-09,10295.00,GROUNDWORK LANDSCAPES LIMITED,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1018619,2019-10-09,9930.00,ME LEARNING LIMITED,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,ph103932,2019-10-09,9832.16,RIS PRODUCTS LTD,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,x1018618,2019-10-09,5280.00,LINK4LIFE CHARITY,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084576,2019-10-09,5080.00,GROUNDWORK LANDSCAPES LIMITED,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002600,2019-10-10,113468.00,NB WORX LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002261,2019-10-10,25193.38,BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY DIRECTORATE
Rochdale Borough Council,d1084615,2019-10-10,17552.50,GREENFINGERS LANDSCAPE LTD,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084611,2019-10-10,17060.00,RUSHTONS DEVELOPMENTS LTD,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084614,2019-10-10,10000.00,WHEELDON BROTHERS WASTE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002262,2019-10-10,8600.00,PRICE AND MYERS,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,e1028946,2019-10-10,6950.00,THE AWARDS SCHEME LTD,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3002593,2019-10-10,5311.00,ROAD SAFETY SERVICES LIMITED,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084618,2019-10-11,86775.00,BLOOM PROCUREMENT SERVICES LTD,ARCHITECTS FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103938,2019-10-11,60511.00,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,BASIC SALARIES,PUBLIC HEALTH
Rochdale Borough Council,r1002264,2019-10-11,49584.56,ROCHDALE DEVELOPMENT AGENCY,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103937,2019-10-11,30000.00,LINK4LIFE CHARITY,LINK 4 LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,d2001880,2019-10-11,18152.00,SMOOTHWALL LTD,IT MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1018647,2019-10-11,8609.25,ADVANCED CHILD CARE ASSESSMENTS LIMITED,MEDICAL FEES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,s1025261,2019-10-11,6894.95,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025260,2019-10-11,5843.78,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2001883,2019-10-14,58500.00,GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008395,2019-10-14,20000.00,CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,f1008389,2019-10-14,8213.99,HSBC MERCHANT SERVICES,BANK CHARGES,RESOURCES
Rochdale Borough Council,x1018661,2019-10-15,18000.00,HERTFORDSHIRE COUNTY COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3002626,2019-10-15,123448.00,ROSSLEE CONSTRUCTION,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,x1018675,2019-10-15,60500.00,OLDHAM COUNCIL,CONTRACTED SERVICES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1018663,2019-10-15,41549.00,MANCHESTER CITY COUNCIL,FEES / COMMISSION,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,f1008402,2019-10-15,38490.23,CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1008403,2019-10-15,37799.03,CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,x1018662,2019-10-15,30000.00,SALFORD CITY COUNCIL,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3002620,2019-10-15,28544.56,CHRISTMAS PLUS LTD,CHRISTMAS DECORATIONS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1028967,2019-10-15,20209.45,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028969,2019-10-15,12441.00,HORIZON CARE AND EDUCATION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028968,2019-10-15,11712.00,WARGRAVE HOUSE SCHOOL AND COLLEGE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1018664,2019-10-15,9900.00,HAMPTONS RESOURCING LTD,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d2001884,2019-10-15,9367.50,DAISY COMMUNICATIONS LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008400,2019-10-15,7500.00,MHR,SOFTWARE,RESOURCES
Rochdale Borough Council,e1028959,2019-10-15,5335.00,DEEPLISH ACADEMY,REPAIRS & ALTS OF BUILDINGS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002269,2019-10-16,53934.72,BLOOM PROCUREMENT SERVICES LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,s1025275,2019-10-16,42686.43,N COMPASS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1025276,2019-10-16,42686.43,N COMPASS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1025279,2019-10-16,23480.00,CHERISH UK LTD,HOME CARE - ADULT SERVICES,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1018679,2019-10-16,17799.66,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1018680,2019-10-16,17799.66,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1084675,2019-10-16,8621.42,NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1028983,2019-10-16,7200.00,AXIOM EDUCATION ROCHDALE LIMITED,"DEV CAP - NEW CONSTRUCTION,CONVERSION",EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1025272,2019-10-16,6037.00,STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025277,2019-10-16,5848.88,FUTURE DIRECTIONS CIC,SOCIAL SERVICES OTHER,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,e1028979,2019-10-16,5000.00,RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028980,2019-10-16,5000.00,RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084689,2019-10-17,7800.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084681,2019-10-17,6200.00,ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002638,2019-10-17,268698.34,GTM ELECTRICAL SERVICES LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002633,2019-10-17,12817.77,UNITY PARTNERSHIP LTD,MAINTENANCE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1025285,2019-10-17,10158.00,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3002640,2019-10-17,9270.65,UNIVERSAL RENEWABLES O AND M LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1025291,2019-10-17,8734.84,UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1084684,2019-10-17,7700.00,F S MOULT AND SON,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025292,2019-10-17,6317.47,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2001887,2019-10-17,5541.72,KHIPU NETWORKS LTD,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025293,2019-10-17,5415.30,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025289,2019-10-17,5321.64,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025294,2019-10-17,5139.26,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025284,2019-10-17,5022.00,STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,e1029000,2019-10-18,794911.43,AXIOM EDUCATION ROCHDALE LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084705,2019-10-18,31002.00,STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025302,2019-10-18,10000.00,S MUSTAFA LIMITED,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,e1028997,2019-10-18,9049.22,AXIOM EDUCATION ROCHDALE LIMITED,WATER CHARGES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1025299,2019-10-18,5581.62,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1084701,2019-10-18,5000.00,REDACTED - PERSONAL DATA,OTHER POST MORTEMS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1029003,2019-10-21,23500.00,IMOSPHERE LIMITED,LICENCE,EARLY HELP AND SCHOOLS
