Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1055172,2016-01-04,"£6,621.51",ELECTRICITY NORTH WEST LTD,MAINTENANCE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1055175,2016-01-04,"£10,000.00",BELFOR UK LTD,PROPERTY - WORKS ELEMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1019263,2016-01-04,"£5,446.40",ERNST & YOUNG LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019268,2016-01-04,"£6,842.81",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019273,2016-01-04,"£5,625.00",CATHERINE HOW SCHOOL EFFECTIVENESS PARTNER SERVICE,CURRICULUM DEVELOPMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1055205,2016-01-05,"£10,500.00",NEW IMAGE PUBLIC RELATIONS LIMITED,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1019283,2016-01-05,"£5,309.09",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019286,2016-01-05,"£9,648.50",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019290,2016-01-05,"£323,537.43",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph101089,2016-01-05,"£138,408.00",BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1006063,2016-01-05,"£16,265.60",ESTIO TECHNOLOGY RECRUITMENT,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1006066,2016-01-05,"£12,897.00",OXFORD COMPUTER CONSULTANTS LIMITED,SOFTWARE,FINANCE SERVICES
Rochdale Borough Council,d1055243,2016-01-06,"£14,238.00",SSI SCHAEFER LIMITED,PURCHASE OF OTHER EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1019297,2016-01-06,"£5,035.71",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019305,2016-01-06,"£5,550.22",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019306,2016-01-06,"£6,000.00",ROCHDALE BOROUGHWIDE HOUSING,EQUIPMENT - GENERAL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019331,2016-01-06,"£11,344.66",BEECHKEYS CARE AND EDUCATION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1019844,2016-01-06,"£5,089.10",POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,SUBSCRIPTIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1012053,2016-01-06,"£9,000.00",TRAFFORD MBC,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1019339,2016-01-07,"£5,330.00",DEEPLISH ACADEMY,RENTS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019348,2016-01-07,"£52,897.50",AXIOM EDUCATION (ROCHDALE) LIMITED,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1006079,2016-01-07,"£9,163.00",BEVAN BRITTAN LLP,CONSULTANT FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,q1006090,2016-01-07,"£6,279.81",PHOENIX SOFTWARE LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1055336,2016-01-08,"£29,750.00",ROCHDALE DEVELOPMENT AGENCY,FEES -CONSTRUCTION CONVERSION RENOVATION,ECONOMY DIRECTORATE
Rochdale Borough Council,d1055337,2016-01-08,"£18,750.00",ROCHDALE DEVELOPMENT AGENCY,FEES -CONSTRUCTION CONVERSION RENOVATION,ECONOMY DIRECTORATE
Rochdale Borough Council,q1006093,2016-01-08,"£5,040.00",TEAM TEACH LIMITED,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1055338,2016-01-10,"£10,964.00",H BELL & SONS ROCHDALE LTD,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1019368,2016-01-11,"£44,100.00",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019374,2016-01-11,"£6,696.00",TAMESIDE METROPOLITAN BOROUGH COUNCIL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1019375,2016-01-11,"£6,666.60",ROC NORTHWEST LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
